# 드론 덱의 인용 키 — PLAN.md §0.3·§0.4. make docs(tools/fetch_docs.py)가 url 을 받아 docs/<file> 로 바꾼다.
# 펌웨어 코드는 커밋 sha 로 박은 raw 주소만 쓴다(tools/excerpt.py 가 sha 를 머리에 적는다). 2026-09-25 작성.
key	name	url	kind	licence	file
lee2010-se3	Lee·Leok·McClamroch 2010 (arXiv PDF)	https://arxiv.org/pdf/1003.2005	paper	-	paper/lee2010-se3.txt
madgwick2010	Madgwick 2010 보고서	https://www.samba.org/tridge/UAV/madgwick_internal_report.pdf	paper	-	paper/madgwick2010.txt
mellinger2011-minsnap	Mellinger·Kumar 2011 (ICRA, DOI)	https://api.crossref.org/works/10.1109/ICRA.2011.5980409	paper	-	paper/mellinger2011-minsnap.txt
turpin2014-capt	Turpin·Michael·Kumar 2014 CAPT (IJRR, DOI)	https://api.crossref.org/works/10.1177/0278364913515307	paper	-	paper/turpin2014-capt.txt
skybrush-studio	Skybrush Studio for Blender 개요	https://docs.skybrush.io/public/skybrush-studio-for-blender/latest/overview.html	doc	-	skybrush/studio-overview.txt
skybrush-formations	Skybrush Studio 대형 패널(CSV 가져오기)	https://docs.skybrush.io/public/skybrush-studio-for-blender/latest/panels/formations/formations.html	doc	-	skybrush/studio-formations.txt
skybrush-export	Skybrush Studio 내보내기	https://docs.skybrush.io/public/skybrush-studio-for-blender/latest/panels/safety_and_export/export.html	doc	-	skybrush/studio-export.txt
skybrush-safety-check	Skybrush Studio 안전 검사	https://docs.skybrush.io/public/skybrush-studio-for-blender/latest/panels/safety_and_export/safety_check.html	doc	-	skybrush/studio-safety-check.txt
skybrush-live	Skybrush Live 개요	https://docs.skybrush.io/public/skybrush-live-doc/latest/overview.html	doc	-	skybrush/live-overview.txt
skybrush-server	Skybrush Server 개요	https://docs.skybrush.io/public/skybrush-server-doc/latest/overview.html	doc	-	skybrush/server-overview.txt
skybrush-protocol	Skybrush 통신 규약 명세	https://docs.skybrush.io/public/skybrush-protocol-spec/latest/index.html	spec	-	skybrush/protocol-index.txt
skybrush-protocol-show	Skybrush 규약 SHOW 메시지	https://docs.skybrush.io/public/skybrush-protocol-spec/latest/messages/show.html	spec	-	skybrush/protocol-show.txt
blender-bpy-data	Blender bpy.data	https://docs.blender.org/api/current/bpy.data.html	doc	-	blender/bpy.data.txt
blender-blenddata	Blender BlendData	https://docs.blender.org/api/current/bpy.types.BlendData.html	doc	-	blender/bpy.types.BlendData.txt
blender-ops-mesh	Blender bpy.ops.mesh	https://docs.blender.org/api/current/bpy.ops.mesh.html	doc	-	blender/bpy.ops.mesh.txt
blender-object	Blender Object	https://docs.blender.org/api/current/bpy.types.Object.html	doc	-	blender/bpy.types.Object.txt
blender-bpy-struct	Blender bpy_struct	https://docs.blender.org/api/current/bpy.types.bpy_struct.html	doc	-	blender/bpy.types.bpy_struct.txt
blender-material	Blender Material	https://docs.blender.org/api/current/bpy.types.Material.html	doc	-	blender/bpy.types.Material.txt
blender-emission-node	Blender ShaderNodeEmission	https://docs.blender.org/api/current/bpy.types.ShaderNodeEmission.html	doc	-	blender/bpy.types.ShaderNodeEmission.txt
blender-manual-emission	Blender 매뉴얼 Emission 셰이더	https://docs.blender.org/manual/en/latest/render/shader_nodes/shader/emission.html	doc	-	blender/manual-emission.txt
crazyswarm-docs	Crazyswarm 문서	https://crazyswarm.readthedocs.io/en/latest/	doc	-	crazyflie/crazyswarm.txt
crazyflie-fw-readme	crazyflie-firmware README	https://raw.githubusercontent.com/bitcraze/crazyflie-firmware/master/README.md	doc	GPL-3.0	crazyflie/firmware-README.txt
ecfr-107	14 CFR Part 107 (eCFR)	https://www.ecfr.gov/api/versioner/v1/full/2026-09-23/title-14.xml?part=107	law	-	law/ecfr-107.txt
ecfr-89	14 CFR Part 89 Remote ID (eCFR)	https://www.ecfr.gov/api/versioner/v1/full/2026-09-23/title-14.xml?part=89	law	-	law/ecfr-89.txt
faa-uas	FAA UAS	https://www.faa.gov/uas	doc	-	faa/uas.txt
faa-part107	FAA Part 107 조종사	https://www.faa.gov/uas/commercial_operators	doc	-	faa/commercial_operators.txt
faa-waivers	FAA Part 107 면제	https://www.faa.gov/uas/commercial_operators/part_107_waivers	doc	-	faa/part_107_waivers.txt
faa-ops-over-people	FAA 사람 위 비행	https://www.faa.gov/uas/commercial_operators/operations_over_people	doc	-	faa/operations_over_people.txt
faa-remote-id	FAA Remote ID	https://www.faa.gov/uas/getting_started/remote_id	doc	-	faa/remote_id.txt
easa-drones	EASA 드론	https://www.easa.europa.eu/en/light/topics/drones	doc	-	easa/drones.txt
easa-open	EASA Open 범주	https://www.easa.europa.eu/en/domains/drones-air-mobility/operating-drone/open-category-low-risk-civil-drones	law	-	easa/open-category.txt
easa-specific	EASA Specific 범주	https://www.easa.europa.eu/en/domains/drones-air-mobility/operating-drone/specific-category-civil-drones	law	-	easa/specific-category.txt
easa-certified	EASA Certified 범주	https://www.easa.europa.eu/en/domains/drones-air-mobility/operating-drone/certified-category-civil-drones	law	-	easa/certified-category.txt
kr-aviation-safety-act	항공안전법	https://www.law.go.kr/DRF/lawService.do?OC=test&target=law&type=XML&ID=012524	law	-	law/kr-aviation-safety-act.txt
kr-aviation-safety-decree	항공안전법 시행령	https://www.law.go.kr/DRF/lawService.do?OC=test&target=law&type=XML&ID=012843	law	-	law/kr-aviation-safety-decree.txt
kr-aviation-safety-rule	항공안전법 시행규칙	https://www.law.go.kr/DRF/lawService.do?OC=test&target=law&type=XML&ID=012848	law	-	law/kr-aviation-safety-rule.txt
kr-drone-act	드론 활용의 촉진 및 기반조성에 관한 법률	https://www.law.go.kr/DRF/lawService.do?OC=test&target=law&type=XML&ID=013479	law	-	law/kr-drone-act.txt
kr-onestop-guide	드론 원스톱 — 각종 신청 작성 안내	https://drone.onestop.go.kr/introduce/systemintro1	doc	-	kr/onestop-guide.txt
kr-onestop-process	드론 원스톱 — 민원 유형별 처리 안내	https://drone.onestop.go.kr/introduce/systemintro2	doc	-	kr/onestop-process.txt
kr-onestop-law	드론 원스톱 — 각종 민원 법률 정보	https://drone.onestop.go.kr/introduce/systemintro4	doc	-	kr/onestop-law.txt
