# 드론쇼 기록 — §5 8단계에서 채운다(≥ 60행). record: Guinness | claimed | none, 2025년 이후 행은 받은 날 필수.
date	place	organiser	drone-count	record	source	verified-how
2020-09-03	러시아 상트페테르부르크	Geoscan	2198	claimed	https://www.geoscan.ru/en/blog/geoscan-has-set-a-world-record	websearch 2026-09-25 — 지오스캔 블로그 제목 '2198 drone show in St. Petersburg'; 기네스 기사는 '2,200 UAV display in Russia on September 4, 2020'(대수·날짜 엇갈림)
2020-09-20	중국 광둥성 주하이	Shenzhen DAMODA	3051	Guinness	gwr-news-2020-10	fetched 2026-09-25 — '3,051 Unmanned Aerial Vehicles … September 20 2020'
2021-03-29	중국 상하이(와이탄)	Genesis	3281	Guinness	gwr-news-2021-05	fetched 2026-09-25 — '3,281 drones came together to create the Genesis emblem'
2021-05-18	중국 광둥성 선전	Shenzhen High Great 외	5184	Guinness	gwr-rec-mosaic	websearch 2026-09-25 — 기록 쪽 옛 문구 요약 '5,184 UAVs … 18 May 2021'(지금 쪽은 2024 기록); 한국 보도는 '2021년 중국 업체의 5164대'로 적어 엇갈림
2021-07-23	일본 도쿄 올림픽 스타디움(개회식)	Intel·도쿄 2020 조직위	1824	claimed	https://www.olympics.com/ioc/news/spectacular-intel-drone-light-show-helps-bring-tokyo-2020-to-life-1	fetched 2026-09-25 (curl) — IOC 'a fleet of 1,824 Intel Premium drones'
2022-06	한국 부산 광안리 해수욕장(상설)	부산 수영구	500	claimed	https://www.fnnews.com/news/202206031430010985	fetched 2026-09-25 — '전국 최초 상설 드론쇼 … 6월부터 기존 드론 300대에서 500대로 확충'(파이낸셜뉴스 2022-06-03, 특별 공연 1,500대)
2022-06-04	영국 런던 버킹엄 궁	SKYMAGIC(BBC Studios 의뢰)	400	claimed	https://dronedj.com/2022/06/05/skymagic-steals-the-show-with-queens-jubilee-drone-performance/	fetched 2026-09-25 — SKYMAGIC 가 Mail Online 에 '400 UAVs'
2023-01	아랍에미리트	미상(GWR 기사에 이름 없음)	673	Guinness	gwr-news-2023-07	fetched 2026-09-25 — 'beating the total of 673 set in the UAE in January, this year'(최대 공중 문장)
2023-04-29	한국 서울 뚝섬 한강공원	서울특별시(2023 서울페스타)	567	claimed	https://www.hankyung.com/article/202304303385i	websearch 2026-09-25 — '567대의 드론이 1·2·3·4단으로'(한국경제, 원문은 403)
2023-05-07	영국 윈저 성·카디프 만·이든 프로젝트(여러 곳 동시)	SKYMAGIC	1000	claimed	https://skymagic.show/project/coronation-concert/	fetched 2026-09-25 — 'Lighting up the skies with 1000 drones, this was the largest ever multi-location drone show in the UK'(찰스 3세 대관식 콘서트; 날짜는 dronedj 2023-05-08 기사)
2023-07-03	미국 텍사스 노스리치랜드힐스	Sky Elements	796	Guinness	gwr-news-2023-07	fetched 2026-09-25 — 공중 문장 796대(쇼 전체 1,002대)
2023-09-08	한국 서울 뚝섬 한강공원	서울특별시	1000	claimed	https://hangang.seoul.go.kr/www/eventMng/detail.do?mid=538&evntSn=138	fetched 2026-09-25 — '2023-09-08 ~ 2023-11-09 … 최대 1,000대의 드론(상반기 500여 대)'
2023-12-17	미국 텍사스 노스리치랜드힐스(Birdville ISD)	Sky Elements	1499	Guinness	gwr-news-2023-12	fetched 2026-09-25 — '1,499 drones'(1,500대 이륙, 1대 제외)
2024-04-24	한국 인천 송도 달빛축제공원	파블로항공	1068	Guinness	pabloair-1068	fetched 2026-09-25 — '1,068대의 불꽃드론 … 종전 기록인 671대'
2024-04-27	한국 서울 잠실·뚝섬 한강공원	서울특별시	1000	claimed	https://news.seoul.go.kr/culture/archives/523679	fetched 2026-09-25 — '1,000대의 드론 … 이달 27일(토)부터 6월 1일(토)까지'
2024-05-01	한국(장소 미기재)	유비파이	5293	Guinness	https://m.boannews.com/html/detail.html?tab_type=1&idx=129483;korea-kr-uvify	fetched 2026-09-25 — 국토부·항공안전기술원 발표 '지난 1일 새벽 … 5,293대'
2024-05-09	한국 인천 송도 달빛축제공원(대한민국 드론박람회)	파블로항공	1100	claimed	pabloair-1068	fetched 2026-09-25 — '기네스 세계기록 당시와 동일한 드론 수(1,100대)의 공연을 오는 9일'(예고 기사)
2024-07	미국 샌디에이고 펫코 파크(코믹콘)	Sky Elements	1607	Guinness	skyelements-gwr	fetched 2026-09-25 — '1,599-drone Deadpool, then … 1,607-drone Wolverine'(주최측 목록)
2024-08	일본(장소 미기재) — 시험 비행	REDCLIFF	3000	claimed	https://redcliff-inc.co.jp/pressrelease/dig-shibuya-dg-drone-show/?lang=en	fetched 2026-09-25 — 'In August 2024 … conducted a test flight of 3,000 drones, the largest in Japan'
2024-09-03	중국 지린성 옌볜	Shenzhen DAMODA	7598	Guinness	gwr-news-2024-09	fetched 2026-09-25 — '7,598 drones … 3 September'
2024-09-04	중국 광둥성 선전	Shenzhen High Great 외	7998	Guinness	gwr-rec-mosaic	fetched 2026-09-25 — '7,998 UAVs … on 4 September 2024'
2024-09-26	중국 광둥성 선전	Shenzhen DAMODA	10197	Guinness	gwr-news-2024-10	fetched 2026-09-25 — '10,200 drones … 10,197 … met the requirements'
2024-09-28	미국 텍사스 맨스필드	Sky Elements·Mansfield 시	1164	Guinness	skyelements-gwr	fetched 2026-09-25 — 불꽃 드론 1,200대 이륙, 1,164대 인정
2024-10-22	인도 안드라프라데시 비자야와다	인도 민간항공부·Drone Federation India·Botlab Dynamics	5500	Guinness	gwr-rec-landmark	fetched 2026-09-25 — '5,500 drones … 22 October 2024'
2024-11	미국 플로리다 올랜도(IAAPA Expo)	Sky Elements	2484	Guinness	skyelements-gwr	fetched 2026-09-25 — '2,484 drones over the Orange County Convention Center … largest aerial display of a bird'
2024-11-27	미국 텍사스 맨스필드	Sky Elements·UVify	4981	Guinness	skyelements-gwr;https://www.newswire.co.kr/newsRead.php?no=1001746	fetched 2026-09-25 — 5,000대 이륙, 4,981대 인정(진저브레드 마을)
2024-12-20	미국 텍사스 노스리치랜드힐스	Sky Elements	2500	Guinness	skyelements-gwr	fetched 2026-09-25 — '2,500 drones … 30-minute Christmas story … longest animation'
2025-01-01	카타르 루사일 불러바드	Pyroemotions	500	none	https://www.guinnessworldrecords.com/news/commercial/2025/1/record-breaking-fireworks-display-launched-by-drones-kicks-off-new-year-celebrations	fetched 2026-09-25 — 드론 500대(기사 수치); 기네스 기록은 드론이 쏜 불꽃 3,865발
2025-02-08	일본 도쿄 시부야 요요기 공원	REDCLIFF·Digital Garage 외	2200	claimed	https://redcliff-inc.co.jp/pressrelease/dig-shibuya-dg-drone-show/?lang=en	fetched 2026-09-25 — 'held above Yoyogi Park … on February 8, 2025 … 2,200 drones'(주최측 '일본 최대')
2025-04-13	일본 오사카 엑스포 2025 개막일	REDCLIFF	1749	Guinness	https://www.guinnessworldrecords.com/world-records/773743-largest-aerial-display-of-a-tree-formed-by-multirotors-drones;https://redcliff-inc.co.jp/pressrelease/guinness-world-records/?lang=en	fetched 2026-09-25 — GWR 나무 이미지 1,749대; REDCLIFF '2,500 drones … used 1,749 drones … of 2,500'
2025-04-13	일본 오사카 엑스포 2025(매일 밤 공연)	REDCLIFF	1000	claimed	https://www.guinnessworldrecords.com/world-records/773743-largest-aerial-display-of-a-tree-formed-by-multirotors-drones	fetched 2026-09-25 — 'nightly drone shows featuring 1,000 machines during Expo 2025'(개막일부터, 주최측 계획 수치)
2025-04-27	한국 서울 뚝섬 한강공원	서울특별시	2000	claimed	https://hangang.seoul.go.kr/www/eventMng/detail.do?srchType=list&mid=538&evntSn=267	fetched 2026-09-25 — '2025-04-27 ~ 2025-06-15 … 1,200~2,000대의 드론 라이트쇼'(최대치를 적음)
2025-04-30	베트남 호찌민시	Prowtech	10500	Guinness	gwr-news-2025-05	fetched 2026-09-25 — '10,500 drones took flight on 30 April'
2025-06-16	중국 충칭	Chongqing Broadcasting Media Group·Shenzhen DAMODA	11787	Guinness	gwr-news-2025-07	fetched 2026-09-25 — '11,787 drones … on 16 June'
2025-07-09	중국 광둥성 허위안	Guangdong Wanlvhu·Shenzhen MateeVTOL·Shenzhen DAMODA	11198	Guinness	gwr-rec-most-rc	websearch 2026-09-25 — 기록 쪽 옛 요약 '11,198 … Heyuan … 9 July 2025'
2025-10-17	중국 광둥성 선전	Shenzhen High Great	15947	Guinness	https://www.newsgd.com/node_d36b0ef83f/083c7173bf.shtml	fetched 2026-09-25 — 'On October 17 … High Great … Using 15,947 drones … most UAVs airborne simultaneously operated by a single computer'(광둥 관영매체 2025-10-20; 기네스 쪽 원문 미확인)
2025-11-15	한국 서울 여의도 한강공원	서울특별시	2000	claimed	https://hangang.seoul.go.kr/www/eventMng/detail.do?srchType=list&mid=538&evntSn=347	fetched 2026-09-25 — '2025-11-15 … 여의도 한강공원에서 드론 2,000대 스페셜 앙코르 쇼'(케이팝데몬헌터스)
2025-12-28	미국 네바다 라스베이거스	Sky Elements·ACRONYM(넷플릭스)	4979	Guinness	skyelements-gwr	fetched 2026-09-25 — '4,979-drone formation … officially awarded in May 2026'(주최측 목록)
2025-12-31	아랍에미리트 아부다비 알와트바(셰이크 자이드 축제)	아부다비 정부(셰이크 자이드 축제)	6500	claimed	https://www.mediaoffice.abudhabi/en/tourism/sheikh-zayed-festival-breaks-5-guinness-world-records-at-new-years-eve-celebrations/	fetched 2026-09-25 — '6,500 drones flying simultaneously for 20 minutes'(기네스 5건은 불꽃 기록; 드론 대수는 주최측)
2026-02-03	중국 안후이성 허페이	Guangdong EHang Egret Media Technology	22580	Guinness	gwr-rec-single-outdoor	fetched 2026-09-25 — 본문 'on 3 February 2026'(요약 칸 '05 February 2026')
2026-03-31	미국 텍사스 맨벨	Aerial Illuminations Drone Shows·UVify	9985	Guinness	gwr-rec-logo	fetched 2026-09-25 — 본문 '31 March 2026'(요약 칸 '24 March 2026'), 최대 공중 로고
2026-04	한국 서울 뚝섬 한강공원	서울특별시	2000	claimed	https://www.seouldroneshow.com/overview	fetched 2026-09-25 — '2026 한강 불빛 공연 … 4월부터 … 1,200대부터 2,000대'(최대치)
2026-05-20	중국 쓰촨성 두장옌·청두	Yufengzhe Technology(Suzhou) 외 2곳	33615	Guinness	gwr-rec-most-rc;gwr-rec-aerial-image	fetched 2026-09-25 — 원격 조종 동시 비행 33,615대, 같은 쇼의 최대 공중 이미지 33,605대
2026-06-19	포르투갈 포르투(마토지뉴스 해변)	Flock Drone Art·Air Invictus	3097	Guinness	https://www.guinnessworldrecords.com/world-records/723154-largest-aerial-sentence-formed-by-multirotors-drones	fetched 2026-09-25 — 요약 칸 '19 June 2026', 본문 'on 20 June 2026'(날짜 엇갈림), 최대 공중 문장 3,097대
2026-07	한국 부산 광안리 해수욕장(상설)	부산 수영구·유비파이	1100	claimed	https://sports.khan.co.kr/article/202607030053003/	fetched 2026-09-25 — 기사 제목 '유비파이, 1100대 규모 광안리 M 드론라이트쇼 상설 운영'(스포츠경향 2026-07-03)
