# 정리 표 — PLAN.md §0.6. 문장은 여기 한 번만 쓴다; 덱의 <!--THM id=…--> 가 이 칸을 찍는다.
# M = 7부 도구, L = 보조정리, T = 본 정리(§3.5). 2026-09-25 T17·T30·T31 은 측정대로 고쳐 적었다(PLAN 진행 기록).
id	statement	level	proof-kind	prerequisites	witness-test	cite-key
M14	작은 각에서 <span class="mi">sin <i>θ</i> ≈ <i>θ</i></span>, <span class="mi">tan <i>θ</i> ≈ <i>θ</i></span>, <span class="mi">cos <i>θ</i> ≈ 1</span>이고 오차는 각각 <span class="mi"><i>O</i>(<i>θ</i>³)</span>, <span class="mi"><i>O</i>(<i>θ</i>³)</span>, <span class="mi"><i>O</i>(<i>θ</i>²)</span>이다	1학년	full	M13	py/tests/test_render.py::test_small_angle	-
M15	<span class="mi"><i>x</i>′ = <i>a</i><i>x</i>, <i>x</i>(0) = <i>x</i>₀</span>의 해는 <span class="mi"><i>x</i>(<i>t</i>) = <i>x</i>₀<i>e</i><sup><i>at</i></sup></span> 하나뿐이다	1학년	full	M11	py/tests/test_motor.py::test_step_response_matches_exponential	-
M16	<span class="mi"><i>τ</i><i>x</i>′ = <i>u</i> − <i>x</i>, <i>x</i>(0) = 0</span>의 해는 <span class="mi"><i>x</i>(<i>t</i>) = <i>u</i>(1 − <i>e</i><sup>−<i>t</i>/<i>τ</i></sup>)</span>이다 — 시상수 <span class="mi"><i>τ</i></span> 뒤에 목표의 약 63 %에 닿는다	1학년	full	M15	py/tests/test_motor.py::test_time_constant_is_63_percent	-
M17	오일러 공식 <span class="mi"><i>e</i><sup><i>iθ</i></sup> = cos <i>θ</i> + <i>i</i> sin <i>θ</i></span> — 그래서 <span class="mi"><i>e</i><sup><i>st</i></sup></span>의 크기는 <span class="mi"><i>e</i><sup>Re(<i>s</i>)<i>t</i></sup></span>이다	1학년	sketch	M13	-	-
M18	상수 계수 선형 미분방정식 <span class="mi"><i>x</i>″ + <i>b</i><i>x</i>′ + <i>c</i><i>x</i> = 0</span>의 해는 특성방정식 <span class="mi"><i>s</i>² + <i>b</i><i>s</i> + <i>c</i> = 0</span>의 근 <span class="mi"><i>s</i>₁, <i>s</i>₂</span>로 <span class="mi"><i>e</i><sup><i>s</i><sub>k</sub><i>t</i></sup></span>의 합이다 (중근이 아닐 때)	1학년	full	M15,M17	py/tests/test_pid.py::test_zeta_and_wn	-
M19	특성방정식의 모든 근의 실수부가 음수이면, 선형 계의 모든 해는 0 으로 줄어든다. 실수부가 양수인 근이 하나라도 있으면 커지는 해가 있다	1학년	full	M17,M18	ex/tests/test_ex.py::test_swing_on_both_sides	-
M20	뉴턴의 운동 법칙 <span class="mi"><b>F</b> = <i>m</i><b>a</b></span> — 이 덱은 법칙으로 받아들이고 증명하지 않는다	1학년	sketch	-	-	-
M21	점 질량의 각운동량 <span class="mi"><b>L</b> = <b>r</b> × <i>m</i><b>v</b></span>은 <span class="mi">d<b>L</b>/d<i>t</i> = <b>r</b> × <b>F</b></span>를 만족한다 — 토크가 없으면 각운동량은 변하지 않는다	1학년	full	M2,M11,M20	py/tests/test_rigidbody.py::test_world_momentum_vector_is_constant	-
M22	국소 오차가 <span class="mi"><i>C</i>·d<i>t</i><sup><i>p</i>+1</sup></span>인 적분법을 <span class="mi"><i>N</i> = <i>T</i>/d<i>t</i></span> 걸음 쓰면 전역 오차는 <span class="mi"><i>O</i>(d<i>t</i><sup><i>p</i></sup>)</span>이다 (오차가 불어나지 않는 안정한 문제에서)	1학년	sketch	-	py/tests/test_rigidbody.py::test_rk4_fourth_order	-
M23	이차함수 <span class="mi"><i>f</i>(<i>k</i>) = <i>a</i><i>k</i>² − 2<i>b</i><i>k</i> + <i>c</i></span> (<span class="mi"><i>a</i> &gt; 0</span>)는 <span class="mi"><i>k</i> = <i>b</i>/<i>a</i></span>에서 가장 작다	1학년	full	-	py/tests/test_estimator.py::test_gain_minimises_variance	-
M24	서로 독립인 확률변수의 선형결합 분산 <span class="mi">Var(<i>aX</i> + <i>bY</i>) = <i>a</i>²Var <i>X</i> + <i>b</i>²Var <i>Y</i></span>	1학년	sketch	-	-	-
M25	뉴턴 반복: <span class="mi"><b>f</b>(<b>x</b>) = <b>0</b></span>을 한 점 둘레에서 1차로 펴서 <span class="mi"><i>J</i> d<b>x</b> = −<b>f</b></span>를 풀고 옮기기를 되풀이하면, 해 근처에서 오차가 한 걸음마다 대략 제곱으로 준다	1학년	sketch	M8,M13	ex/tests/test_ex.py::test_newton_converges_fast	-
M26	반지름 <span class="mi"><i>R</i></span>인 원 위에 <span class="mi"><i>n</i></span>개를 고르게 놓으면 이웃한 두 점 사이의 거리는 <span class="mi">2<i>R</i> sin(π/<i>n</i>)</span>이다	1학년	full	-	py/tests/test_formation.py::test_circle	-
M27	모든 좌표에 같은 수 <span class="mi"><i>k</i> &gt; 0</span>를 곱하면 모든 두 점 사이의 거리도 <span class="mi"><i>k</i></span>배가 된다 (닮음)	1학년	full	-	py/tests/test_formation.py::test_sphere	-
M28	선형 계 <span class="mi"><b>x</b>′ = <i>A</i><b>x</b></span>의 특성다항식 <span class="mi">det(<i>sI</i> − <i>A</i>)</span>의 근이 그 계의 극(pole)이다 — 7부는 이 다리를 두 장으로만 놓는다	1학년	sketch	M18	-	-
L1	쿼터니언 곱의 크기는 크기의 곱이다: <span class="mi">|<i>pq</i>| = |<i>p</i>||<i>q</i>|</span>	1학년	full	M3	py/tests/test_quat.py::test_product_norm	-
L2	단위 쿼터니언 <span class="mi"><i>q</i></span>에 대해 <span class="mi"><i>q</i>̇ = ½<i>q</i> ⊗ (0, <b>ω</b>)</span>이면 <span class="mi"><i>q</i>·<i>q</i>̇ = 0</span>이다 — 크기가 변하지 않는 동안 <span class="mi"><i>q</i></span>와 <span class="mi"><i>q</i>̇</span>는 수직이다	1학년	full	M1	py/tests/test_quat.py::test_qdot_formula	-
L3	회전하는 좌표계에서 본 벡터의 시간 미분: <span class="mi">(d<b>h</b>/d<i>t</i>)<sub>세계</sub> = (d<b>h</b>/d<i>t</i>)<sub>몸체</sub> + <b>ω</b> × <b>h</b></span>	1학년	sketch	M2,M11	py/tests/test_rigidbody.py::test_gyroscopic_term	-
L4	X 배치 믹서 행렬 <span class="mi"><i>M</i></span>의 네 행은 서로 수직이다. 그래서 <span class="mi"><i>MM</i><sup>T</sup></span>는 대각행렬이고 <span class="mi"><i>M</i><sup>−1</sup> = <i>M</i><sup>T</sup>(<i>MM</i><sup>T</sup>)<sup>−1</sup></span>이다	1학년	full	M1,M7	py/tests/test_mixer.py::test_inverse	-
L5	측정값을 미분하는 D항은 목표가 계단처럼 바뀌어도 튀지 않는다	1학년	full	-	py/tests/test_pid.py::test_derivative_on_measurement	-
L6	적분항을 <span class="mi">±<i>I</i><sub>max</sub></span>로 자르면 적분항의 출력은 <span class="mi"><i>k</i><sub>i</sub><i>I</i><sub>max</sub></span>를 넘지 않는다	1학년	full	-	py/tests/test_pid.py::test_integral_accumulates_and_clamps	-
L7	이산 1차 필터 <span class="mi"><i>y</i> ← <i>y</i> + (<i>u</i> − <i>y</i>)·d<i>t</i>/(<i>τ</i> + d<i>t</i>)</span>는 <span class="mi"><i>τ</i><i>y</i>′ = <i>u</i> − <i>y</i></span>를 후진 오일러로 푼 것이다	1학년	full	M16	py/tests/test_pid.py::test_derivative_filter	-
L8	두 대의 목표를 맞바꾸면 제곱 거리의 합은 정확히 <span class="mi">2(<b>a</b>₁ − <b>a</b>₂)·(<b>b</b>₁ − <b>b</b>₂)</span>만큼 바뀐다	1학년	full	M1	py/tests/test_assign.py::test_swap_rule	-
L9	동기 직선 이동에서 두 대 사이 거리의 제곱은 <span class="mi">(1−<i>β</i>)²|Δ<b>a</b>|² + <i>β</i>²|Δ<b>b</b>|² + 2<i>β</i>(1−<i>β</i>)Δ<b>a</b>·Δ<b>b</b></span>이다 (<span class="mi">Δ<b>a</b> = <b>a</b><sub><i>i</i></sub> − <b>a</b><sub><i>j</i></sub></span>, <span class="mi">Δ<b>b</b> = <b>b</b><sub><i>i</i></sub> − <b>b</b><sub><i>j</i></sub></span>)	1학년	full	M1	py/tests/test_assign.py::test_distance_bound_holds	-
L10	<span class="mi">0 ≤ <i>β</i> ≤ 1</span>에서 <span class="mi">(1−<i>β</i>)² + <i>β</i>² ≥ ½</span>이고, 등호는 <span class="mi"><i>β</i> = ½</span>일 때뿐이다	1학년	full	M23	py/tests/test_assign.py::test_distance_bound_holds	-
L11	양 끝에서 값과 1~3계 도함수가 모두 0 인 7차 이하 다항식은 0 뿐이다 — 그래서 멈춤→멈춤 7차식은 하나로 정해진다	1학년	full	-	py/tests/test_poly.py::test_min_snap_closed_form	-
L12	양 끝에서 값과 1~3계 도함수가 0 인 섭동 <span class="mi"><i>h</i></span>에 대해, 7차 다항식 <span class="mi"><i>x</i></span>와의 교차항 <span class="mi">∫ <i>x</i>⁗<i>h</i>⁗ d<i>t</i></span>은 0 이다	1학년	full	M12	py/tests/test_poly.py::test_cross_term_vanishes	-
L13	거리 <span class="mi"><i>d</i></span>가 <span class="mi"><i>v</i><sub>max</sub>²/<i>a</i><sub>max</sub></span>보다 짧으면 최고 속도에 닿기 전에 줄여야 한다 (삼각형 프로파일)	1학년	full	-	py/tests/test_profile.py::test_triangular_case	-
L14	가속도가 <span class="mi"><i>a</i><sub>max</sub></span> 이하이고 멈춘 채 출발·도착하면, 시각 <span class="mi"><i>t</i></span>의 속도는 <span class="mi">min(<i>a</i><sub>max</sub><i>t</i>, <i>a</i><sub>max</sub>(<i>T</i>−<i>t</i>), <i>v</i><sub>max</sub>)</span> 이하이다	1학년	full	-	py/tests/test_profile.py::test_samples_respect_limits_and_arrive	-
L15	미지수가 넷(위치 셋과 시계 오차)이면 서로 다른 방향의 의사거리가 넷 이상 있어야 해가 하나로 정해진다	1학년	full	M9	ex/tests/test_ex.py::test_four_satellites_enough	-
L16	받아들일 때마다 앞선 모든 점과의 거리를 확인하는 다트 던지기 표본은 어느 두 점도 <span class="mi"><i>r</i></span>보다 가깝지 않다	1학년	full	-	py/tests/test_formation.py::test_poisson_min_distance	-
L17	간격이 <span class="mi"><i>d</i></span> 이상인 점 집합에서 고른 부분집합의 간격도 <span class="mi"><i>d</i></span> 이상이다	1학년	full	-	py/tests/test_formation.py::test_globe	-
L18	피치가 ±90°에 가까워지면 롤과 요가 같은 회전을 만든다: 피치 90°에서 <span class="mi">(<i>φ</i>, <i>ψ</i>)</span>와 <span class="mi">(<i>φ</i>+<i>δ</i>, <i>ψ</i>+<i>δ</i>)</span>는 같은 자세다	1학년	full	M7	py/tests/test_quat.py::test_lock_merges_roll_and_yaw	-
L19	호버 평형: 네 로터가 호버 회전수 <span class="mi"><i>Ω</i><sub>h</sub> = √(<i>mg</i>/(4<i>k</i><sub>T</sub>))</span>로 돌고 자세가 수평이면 가속도와 각가속도가 모두 0 이다	1학년	full	M20	py/tests/test_quadrotor.py::test_hover_is_equilibrium	-
L20	가속도계는 중력이 아니라 비력 <span class="mi"><i>R</i><sup>T</sup>(<b>v</b>̇ + <i>g</i><b>e</b>₃)</span>를 잰다 — 떠 있으면 <span class="mi">+<i>g</i></span>, 자유낙하면 0	1학년	full	M20	py/tests/test_sensors.py::test_free_fall_accelerometer_reads_zero	-
L21	제곱 거리 합이 가장 작은 할당은 모든 두 대에 대해 <span class="mi">(<b>a</b><sub><i>i</i></sub> − <b>a</b><sub><i>j</i></sub>)·(<b>b</b><sub><i>π</i>(<i>i</i>)</sub> − <b>b</b><sub><i>π</i>(<i>j</i>)</sub>) ≥ 0</span>를 만족한다	1학년	full	L8	py/tests/test_assign.py::test_pairwise_monotone	-
L22	8비트 LED 값 <span class="mi"><i>v</i></span>는 빛의 양이 아니라 감마로 부호화된 값이다: 빛의 양은 <span class="mi">(<i>v</i>/255)<sup>γ</sup></span> (γ = 2.2 로 둔 이 덱의 약속)	1학년	full	-	py/tests/test_render.py::test_roundtrip	-
L23	제곱 거리가 아니라 그냥 거리의 합을 줄이는 할당은 동기 직선 이동 중 두 대를 <span class="mi"><i>δ</i>/√2</span>보다 가깝게 둘 수 있다 — 반례가 있다	1학년	full	L9	py/tests/test_assign.py::test_plain_cost_can_collide	-
L24	제곱 거리 최적 할당도 평면에서 경로가 엇갈릴 수 있다 — 반례가 있다	1학년	full	L8	py/tests/test_assign.py::test_squared_cost_can_cross	-
L25	적분 포화가 없으면, 출력이 포화된 동안 적분이 계속 쌓여 목표를 크게 지나친다 (wind-up)	1학년	full	L6	py/tests/test_pid.py::test_windup_overshoot	-
L26	물체의 x 축을 요 방향 수평 벡터 <span class="mi"><b>x</b><sub>C</sub></span>에 수직인 <span class="mi"><b>y</b><sub>B</sub> = <b>z</b><sub>B</sub>×<b>x</b><sub>C</sub>/|…|</span>로 만들면, 원하는 추력 방향과 요가 자세 하나를 정한다	1학년	full	M2	py/tests/test_attitude.py::test_thrust_axis_follows_force	-
T1	모멘텀 이론: 추력 <span class="mi"><i>T</i></span>를 내는 넓이 <span class="mi"><i>A</i></span>의 원판이 공기 밀도 <span class="mi"><i>ρ</i></span>에서 떠 있으려면 유도 속도 <span class="mi"><i>v</i> = √(<i>T</i>/(2<i>ρA</i>))</span>, 이상 일률 <span class="mi"><i>P</i> = <i>T</i><sup>3/2</sup>/√(2<i>ρA</i>)</span>가 든다	1학년	full	M20	py/tests/test_motor.py::test_ideal_power_formula	-
T2	비행시간 <span class="mi"><i>t</i> = <i>C</i>·<i>V</i>·<i>η</i> / <i>P</i></span>. 호버 일률이 <span class="mi"><i>m</i><sup>3/2</sup></span>에 비례하므로 무게를 반으로 줄여도 (LED 같은 고정 일률이 있으면) 비행시간은 <span class="mi">2<sup>3/2</sup></span>배보다 적게 는다	1학년	full	T1	py/tests/test_motor.py::test_half_mass_is_not_double_time	-
T3	반토크: 서로 반대로 도는 로터 쌍의 반토크는 같은 회전수에서 서로 지워지고, 요 토크는 두 쌍의 회전수 차이에서만 생긴다	1학년	full	M20	py/tests/test_mixer.py::test_hover_yaw_torque_cancels	-
T4	회전행렬 <span class="mi"><i>R</i></span>는 <span class="mi"><i>R</i><sup>T</sup><i>R</i> = <i>I</i></span>이고 <span class="mi">det <i>R</i> = 1</span>이다. 두 회전을 잇는 것은 행렬을 곱하는 것이다	1학년	full	M6,M7,M10	py/tests/test_quat.py::test_rotation_orthogonal_det1	-
T5	오일러각(ZYX)의 변화율을 몸체 각속도로 바꾸는 행렬 <span class="mi"><i>E</i>(<i>φ</i>, <i>θ</i>)</span>의 행렬식은 <span class="mi">cos <i>θ</i></span>이다 — 피치 ±90°에서 0 이 되어 거꾸로 풀 수 없다 (짐벌 락)	1학년	full	M6,L18	py/tests/test_quat.py::test_rate_matrix_det_is_cos_pitch	-
T6	단위 쿼터니언 <span class="mi"><i>q</i></span>에 대해 <span class="mi"><b>v</b> ↦ <i>q</i> ⊗ <b>v</b> ⊗ <i>q</i>*</span>는 회전이다 (길이와 내적을 지킨다). 단위 쿼터니언의 곱은 단위 쿼터니언이고, <span class="mi"><i>q</i></span>와 <span class="mi">−<i>q</i></span>는 같은 회전이다	1학년	full	L1,M10	py/tests/test_quat.py::test_rotation_preserves_norm_and_dot	-
T7	쿼터니언 운동학 <span class="mi"><i>q</i>̇ = ½<i>q</i> ⊗ (0, <b>ω</b>)</span>. 오일러 한 걸음은 크기를 정확히 <span class="mi">√(1 + (d<i>t</i>|<b>ω</b>|/2)²)</span>배로 키운다 — 걸음마다 다시 정규화하면 된다	1학년	full	L1,L2	py/tests/test_quat.py::test_euler_step_norm_drift_formula	-
T8	강체의 회전 방정식 <span class="mi"><i>J</i><b>ω</b>̇ = <b>τ</b> − <b>ω</b> × <i>J</i><b>ω</b></span>. 대각 관성 <span class="mi"><i>J</i></span>에서 토크가 없으면 운동에너지와 각운동량의 크기가 보존된다	1학년	full	M21,L3	py/tests/test_rigidbody.py::test_torque_free_energy_and_momentum	-
T9	X 배치 쿼드로터의 믹서 <span class="mi"><i>M</i></span>는 가역이다: <span class="mi">det <i>M</i> = 16<i>a</i>²<i>c</i> ≠ 0</span> (<span class="mi"><i>a</i> = <i>L</i>/√2</span>, <span class="mi"><i>c</i> = <i>k</i><sub>Q</sub>/<i>k</i><sub>T</sub></span>)	1학년	full	L4,M6	py/tests/test_mixer.py::test_det_formula	-
T10	언더액추에이션: 추력 넷에서 힘·토크 여섯으로 가는 사상의 계수는 4 이다. 옆으로 미는 힘은 직접 낼 수 없고, 위치는 자세를 거쳐서만 제어된다	1학년	full	M9,T9	py/tests/test_mixer.py::test_wrench_map_rank_four	-
T11	호버 선형화: 추력을 <span class="mi"><i>mg</i></span>로 두고 작은 롤 <span class="mi"><i>φ</i></span>·피치 <span class="mi"><i>θ</i></span>로 기울이면 <span class="mi"><i>ẍ</i> ≈ <i>gθ</i></span>, <span class="mi"><i>ÿ</i> ≈ −<i>gφ</i></span>이고, 수평 가속도의 상대 오차와 수직 가속도는 <span class="mi"><i>O</i>(각²)</span>이다	1학년	full	M14,T4	py/tests/test_quadrotor.py::test_error_quarters_when_angle_halves	-
T12	미분 평탄성: 위치의 가속도·가가속도와 요·요 변화율이 총추력, 자세, 몸체 각속도를 모두 정한다 — <span class="mi"><i>F</i> = <i>m</i>|<b>a</b> + <i>g</i><b>e</b>₃|</span>, <span class="mi"><i>p</i> = −<b>h</b>·<b>y</b><sub>B</sub>, <i>q</i> = <b>h</b>·<b>x</b><sub>B</sub></span>, <span class="mi"><i>r</i> = (<i>β</i><i>p</i> + <i>ψ</i>̇ <b>y</b><sub>B</sub>·<b>y</b><sub>C</sub>)/<i>α</i></span>	1학년	full	L26,M2,M11	py/tests/test_attitude.py::test_rates_from_jerk_match_attitude_derivative	mellinger2011-minsnap
T13	1차 계 <span class="mi"><i>τ</i><i>x</i>′ = <i>u</i> − <i>x</i></span>의 계단 응답은 <span class="mi"><i>u</i>(1 − <i>e</i><sup>−<i>t</i>/<i>τ</i></sup>)</span>이다. 모터 지연은 이 꼴이고 시상수 <span class="mi"><i>τ</i></span>가 그 느림을 한 수로 요약한다	1학년	full	M16	py/tests/test_motor.py::test_step_response_matches_exponential	-
T14	PD 로 닫은 이중 적분기 <span class="mi"><i>ẍ</i> = <i>k</i><sub>p</sub>(<i>r</i>−<i>x</i>) − <i>k</i><sub>d</sub><i>ẋ</i></span>의 특성다항식은 <span class="mi"><i>s</i>² + <i>k</i><sub>d</sub><i>s</i> + <i>k</i><sub>p</sub></span>이고, <span class="mi"><i>ω</i><sub>n</sub> = √<i>k</i><sub>p</sub></span>, <span class="mi"><i>ζ</i> = <i>k</i><sub>d</sub>/(2√<i>k</i><sub>p</sub>)</span>이며 (0 &lt; ζ &lt; 1 이면) 계단 응답의 최대 초과량은 <span class="mi"><i>e</i><sup>−π<i>ζ</i>/√(1−<i>ζ</i>²)</sup></span>이다	1학년	full	M18,M19	py/tests/test_pid.py::test_overshoot_matches_formula	-
T15	일정한 외란 <span class="mi"><i>d</i></span> 아래에서 PD 제어의 정상상태 오차는 <span class="mi"><i>d</i>/<i>k</i><sub>p</sub></span>이고, 적분항을 더해 닫은 계가 안정하면 정상상태 오차는 0 이다	1학년	full	M19,T14	py/tests/test_pid.py::test_pid_removes_offset	-
T16	라우스 판정(3차): <span class="mi"><i>s</i>³ + <i>a</i>₂<i>s</i>² + <i>a</i>₁<i>s</i> + <i>a</i>₀</span>의 근이 모두 왼쪽 반평면에 있을 필요충분조건은 모든 계수가 양수이고 <span class="mi"><i>a</i>₂<i>a</i>₁ &gt; <i>a</i>₀</span>인 것이다	1학년	full	M18,M19	py/tests/test_pid.py::test_gain_scan_crosses_exactly_at_bound	-
T17	시간 척도 분리: 빠르기 <span class="mi"><i>b</i></span>인 안쪽 1차 루프를 이득 <span class="mi"><i>k</i></span>인 바깥 P 가 감싸면 특성다항식은 <span class="mi"><i>s</i>² + <i>bs</i> + <i>bk</i></span>이고, <span class="mi"><i>b</i> ≫ <i>k</i></span>일 때 느린 극은 <span class="mi">−<i>k</i>(1 + <i>O</i>(<i>k</i>/<i>b</i>))</span>이다 — 바깥 루프는 안쪽을 1 로 봐도 된다	1학년	full	M18,M13	py/tests/test_pid.py::test_slow_pole_approaches_outer_gain	-
T18	쿼터니언 자세 P 법칙 <span class="mi"><b>ω</b> = 2<i>k</i>·sign(<i>q</i><sub>e,w</sub>)·<b>q</b><sub>e,xyz</sub></span> (<span class="mi"><i>q</i><sub>e</sub> = <i>q</i><sup>−1</sup> ⊗ <i>q</i><sub>d</sub></span>)를 각속도가 곧장 따르면, 오차각 <span class="mi"><i>θ</i></span>는 <span class="mi"><i>θ</i>̇ = −2<i>k</i> sin(<i>θ</i>/2)</span>를 만족해 단조롭게 0 으로 줄고 축은 변하지 않는다: <span class="mi">tan(<i>θ</i>/4) = tan(<i>θ</i>₀/4)<i>e</i><sup>−<i>kt</i></sup></span>	1학년	full	L2,T6,M15	py/tests/test_attitude.py::test_angle_decreases_like_closed_form	-
T19	감소 자세(추력 방향 먼저): 기울기를 맞추는 가장 짧은 회전을 먼저 두고 요 회전은 가중치 <span class="mi"><i>w</i><sub>yaw</sub> &lt; 1</span>만큼만 섞으면, 요 오차가 커도 기울기 오차가 먼저 준다	1학년	sketch	T18	py/tests/test_attitude.py::test_tilt_first_with_small_yaw_weight	px4-att-cpp
T20	SE(3) 위의 기하학적 추종 제어(Lee·Leok·McClamroch): 이득 조건을 만족하면 위치·자세 오차가 거의 전역적으로 지수적으로 0 에 수렴한다 — 이 덱은 증명 없이 인용한다	심화	cited	-	-	lee2010-se3
T21	이산화: 오일러는 1차, RK4 는 4차 적분법이다 (걸음을 반으로 줄이면 오차가 2배, 16배 준다). 제어 주기가 길어지면 지연이 생긴다	1학년	sketch	M22	py/tests/test_rigidbody.py::test_rk4_fourth_order	-
T22	D항은 주파수 <span class="mi"><i>ω</i></span>의 신호를 <span class="mi"><i>ω</i></span>배 키운다. 1차 저역 통과 필터의 진폭비는 <span class="mi">1/√(1 + (<i>ωτ</i>)²)</span>이다	1학년	full	M16,M17	py/tests/test_pid.py::test_lowpass_gain	-
T23	한 축 상보 필터 <span class="mi"><i>θ</i> ← <i>α</i>(<i>θ</i> + <i>ω</i>d<i>t</i>) + (1−<i>α</i>)<i>θ</i><sub>acc</sub></span>는 일정한 자이로 바이어스 <span class="mi"><i>b</i></span> 아래에서 오차가 <span class="mi"><i>αb</i>d<i>t</i>/(1−<i>α</i>)</span>로 유계이다 — 자이로만 적분하면 오차가 <span class="mi"><i>bt</i></span>처럼 한없이 커진다	1학년	full	-	py/tests/test_estimator.py::test_bias_error_formula	-
T24	분산 <span class="mi"><i>P</i></span>인 예측과 분산 <span class="mi"><i>R</i></span>인 측정을 이득 <span class="mi"><i>K</i></span>로 섞은 추정의 분산 <span class="mi">(1−<i>K</i>)²<i>P</i> + <i>K</i>²<i>R</i></span>은 <span class="mi"><i>K</i> = <i>P</i>/(<i>P</i>+<i>R</i>)</span>에서 가장 작고, 그 값은 <span class="mi"><i>PR</i>/(<i>P</i>+<i>R</i>)</span>이다	1학년	full	M23,M24	py/tests/test_estimator.py::test_gain_minimises_variance	-
