name	len	recipe	sha1	blob
a-100	100	repeat:61:100	7f9000257a4918d7072655ea468540cdcbd42e0c	d690765445339443e88fd770dad129c38e3521ff
a-111	111	repeat:61:111	ac877859d427d9192054eea8feb3b8a403ef83a5	d64a843f44190f041194ba87abf3cedc76eeb30e
a-112	112	repeat:61:112	689993727ba37386bb032495e9dbdfb4dd1ba744	30fd1823c28e22defedf47b062cfef13b71f3bcb
a-113	113	repeat:61:113	3bcfff44cf3237b9b63c661a530077f794872efc	a43f37c72fc97ae3de940bd89f87139cc8ece9be
a-119	119	repeat:61:119	ee971065aaa017e0632a8ca6c77bb3bf8b1dfc56	1325c3d76ea6a66e75dce490a0b8cb8b12233ee0
a-120	120	repeat:61:120	f34c1488385346a55709ba056ddd08280dd4c6d6	253af86ee859905852357aee8bd83b08601364ae
a-121	121	repeat:61:121	fa6b5a6f8ac27182f838fe7841ec6d2aef3ade29	0c525b7b26223743d7365218e1dafcd901767a08
a-127	127	repeat:61:127	89d95fa32ed44a7c610b7ee38517ddf57e0bb975	d02fa23e0a45b55232ede21cbfcf8fb0bc77c02b
a-128	128	repeat:61:128	ad5b3fdbcb526778c2839d2f151ea753995e26a0	b9ec37e648dcec4d4f60dd267d05079a696d3267
a-129	129	repeat:61:129	d96debf1bdcbc896e6c134ea76e8141f40d78536	d4eb6f3677a0017502cd99f1d648bff6eea8af63
a-191	191	repeat:61:191	f0d0429532d8c279879349ef6d15ec39a1f337c7	68d3c143c1bc006ff8cdb85d667f567f672f9ed7
a-192	192	repeat:61:192	9b1a580cb91c62712ce65498ebad252a1d83051d	3071843ab48119757f4c8c3959f14ff4f82dbbb3
a-193	193	repeat:61:193	8a3a12a43de5d50c9b65809e21f11912fd66a237	995f62fe4ead664f94b3f2114b3bd81a59153fe7
a-255	255	repeat:61:255	5afd9729928ad946eee5610434e66b5f95accbaf	fcca68b82615f914d4223df91d9e75228544bdc9
a-256	256	repeat:61:256	9c78512ad150c8b5d8918395ad0e5169397d2b62	6385b6e501a470bf226468530ed7caf46d42caf9
a-257	257	repeat:61:257	0c1038883670f8a0203e053eaf67dc2dec280b42	a6c406965f6000a7de4634085f4a05366f38e455
a-511	511	repeat:61:511	b9370eafb7ac772c6c1dc6b88ac9ad466b880ea1	b6c581e234bcac5876672137e563b30dc58500cb
a-512	512	repeat:61:512	164557facb73929875168c1e92caf09bb6064564	4e840f673648bfe8024edc14530a68c60765ab8c
a-513	513	repeat:61:513	87ecd7233dbe9d7543a9a199fc671a90e469873d	656622129411d66eb28ecac30b140f7a657e13e9
a-1000	1000	repeat:61:1000	291e9a6c66994949b57ba5e650361e98fc36b1ba	a50be72b20f0e3f078d252e8e56b11b4bec67509
a-1023	1023	repeat:61:1023	4aa47ffaf3b2dd2f0241fe22200fca88980f88ab	41e37b2d1e4deea2883ff5e4f6fb58f42d0d9b0c
a-1024	1024	repeat:61:1024	8eca554631df9ead14510e1a70ae48c70f9b9384	15e3a1f8653d339db819f58b2071506b95890046
a-1025	1025	repeat:61:1025	1009de2ef6183bd6d8c08f1ed8df4847e71f7acb	5e8a023cdccdf9c504f72890eb5e3e3a5df9b0c8
a-2000	2000	repeat:61:2000	059c294680401882abc912771fff152ee638ee80	6da72268253d69d51ec72ab84539d4193a7a0be9
a-4096	4096	repeat:61:4096	8c51fb6a0b587ec95ca74acfa43df7539b486297	9d235ed07cd19811a6ceb342de82f190e49c9f68
a-8191	8191	repeat:61:8191	850f361432d6af028751903eb3f58a4197f5d068	75d515b0d0b584fe3209da623db3a77cacf8ab7f
a-8192	8192	repeat:61:8192	2727756cfee3fbfe24bf5650123fd7743d7b3465	b74926505f4d60f356b68f31f4d0afbf1d22fcc8
a-8193	8193	repeat:61:8193	3f5034a3c8446bc1f2f20ea05b5442c20b770161	e30c5cd43e3ae6f99abe58850f561d9f87c7f7ac
a-10000	10000	repeat:61:10000	a080cbda64850abb7b7f67ee875ba068074ff6fe	3aeccb2d5eecff034081db3f409a9aa7970efa69
zero-1	1	repeat:00:1	5ba93c9db0cff93f52b521d7420e43f6eda2784f	f76dd238ade08917e6712764a16a22005a50573d
zero-55	55	repeat:00:55	8e8832c642a6a38c74c17fc92ccedc266c108e6c	799c5e1905ebbd1810c1b4de9a4018ed56a84ea8
zero-56	56	repeat:00:56	9438e360f578e12c0e0e8ed28e2c125c1cefee16	15ee40eb50938ee1368ad9db1f91fcefbca6b5f9
zero-64	64	repeat:00:64	c8d7d0ef0eedfa82d2ea1aa592845b9a6d4b02b7	9017fd98b5f67d928cc64c59b2c025472ce74f8c
zero-65	65	repeat:00:65	f0fa45906bd0f4c3668fcd0d8f68d4b298b30e5b	b83d2018862d6a012b1184ed4f81af70ba5dec55
ff-1	1	repeat:ff:1	85e53271e14006f0265921d02d4d736cdc580b0b	ce542efaa5124a0437f0c4db329d7ec4b7ba70a7
ff-55	55	repeat:ff:55	450732ec1ec8fc5594a29700e11c37f09622ed72	ae2a924b7eb8d4deb7e012742c5888fe6b9f79c6
ff-56	56	repeat:ff:56	09cade8bfcfc501cb097636504dff46b39270658	8022c15b75db116b5ebaa8acfe0a7f8eacda2805
ff-64	64	repeat:ff:64	ffc6261e487efa8c7442069f71acfc4aa826993d	85f2b7569cab3ce92089e96bbbc74f37128f0a7b
ff-65	65	repeat:ff:65	bf0822f91c1aeaee3a06c8a6c598b0229e7fb2f3	f925dd675f4cecb59eb25fc64aaab0f9ad783a17
ff-1000	1000	repeat:ff:1000	c2fbe7c95d9be373d9bb6ee58fb3a24411e1a2a8	28ec76192d0b55347857a42c867e8066b98cdb59
counter-1	1	counter:1	5ba93c9db0cff93f52b521d7420e43f6eda2784f	f76dd238ade08917e6712764a16a22005a50573d
counter-2	2	counter:2	3f29546453678b855931c174a97d6c0894b8f546	bdc955b7b2e610ad5a72302b139a2e6cb325519a
counter-3	3	counter:3	0c7a623fd2bbc05b06423be359e4021d36e721ad	8352675d67aed6625ece79af41c27fdb4ee2e867
counter-5	5	counter:5	1cf251472d59f8fadeb3ab258e90999d8491be19	85025d98693fe77b700bcf818dfd8fcd13c4e961
counter-7	7	counter:7	6dc86f11b8cdbe879bf8ba3832499c2f93c729ba	aa13906c40562856bc2174d8187b0d3236ad6d2b
counter-11	11	counter:11	2c7e7c384f7829694282b1e3a6216def8082d055	2229a82a1cdc59f6a12c29bdc0da7ab703eacf67
counter-13	13	counter:13	e51f9799c4a21bba255cf473baf95a89e1b86180	abc161ba9486ac416aa50888bd556a86ff4be63e
counter-17	17	counter:17	0a0315ec7b1e22a79fc862edf79bda2fc01669e3	810547ec522ec0db3230799a6e84d8e04d91d59b
counter-19	19	counter:19	d35b5afbc48a696897c084e6e71aae67c7cd9417	ace0f95994fa4655f1bbb34dcd888544df7dceda
counter-23	23	counter:23	45412d51d3ca7bcf452d1612720ee88f9d2427c3	54cdc0c29174285297a24be727044e3ced789158
counter-29	29	counter:29	f38a076f70613fc251c4d21e6435ad08341a8a99	4a66b81b0aa75eb6aa65236d86864ae3988025cd
counter-55	55	counter:55	8ae2d46729cfe68ff927af5eec9c7d1b66d65ac2	9525d86f397cdc2c5a3672bf546c184250c8a02d
counter-56	56	counter:56	636e2ec698dac903498e648bd2f3af641d3c88cb	ce6d37c86555d38f5461afbe7f0b0f3373519a72
counter-63	63	counter:63	6d942da0c4392b123528f2905c713a3ce28364bd	a10ecb02906a5b6546eb1d5564d39710f3c75599
counter-64	64	counter:64	c6138d514ffa2135bfce0ed0b8fac65669917ec7	96eb299ab61d459148b19b03f71386abcec74669
counter-65	65	counter:65	69bd728ad6e13cd76ff19751fde427b00e395746	260cdc342c66143062d2b82ca53981b38e11101e
counter-251	251	counter:251	be9a388016c3973d9b4a8d0c2c7fb9a6d254370e	12872a4a90b866c16ceef236a794dce0b99f4829
counter-252	252	counter:252	47ae39e0e773fe43ae88246033b74400cd3846ea	032204b564be12ba29062016c95876fc85228dd9
counter-4095	4095	counter:4095	2981e06893e00f71bb3aecb4337cf741b91bfc6e	c92306618fd297aee078a6a00460202f50a70c88
counter-4096	4096	counter:4096	92ca8f2b4163e64a1b53e0fde263ad56cbdb75fc	18a43fa7840c37c6e6b89439b05d0427d1bd8d64
counter-4097	4097	counter:4097	199b39f39620b41326652dea09d98b57b0381329	273b7a4cfa851760401a3a1b561e2186685eedaa
counter-65535	65535	counter:65535	fcdcbc0a3c69abbb021afa4a13ec39c4ad11cdb8	5fa8d7042d7f421dac6a0c55d9fc8c0b9b125294
counter-65536	65536	counter:65536	fefb71740a82b94a2da3bcd2fd72fc64a7fb8666	1f83a817b46ef5fcd12e48dda03c4e8dacad82a2
counter-65537	65537	counter:65537	74c69f8e2c886f87f68d52d16c30e9b4790513c9	df8776becc0b7a030ca260b14e167a7a1c3c63ed
counter-100000	100000	counter:100000	23a1065a0f6a485119049bf2799179dd0154efbb	88aea5919fa556a475407a5274e7dcd204ab3b64
counter-1048576	1048576	counter:1048576	c2fc4cb20f1301a6b0dd211c19e69a13925dbe40	b859c508ba043c1601650b2010f9b6e6eccc0a7f
