# 연표 — 한 줄에 사건 하나. evidence-kind: git(커밋·태그) · release(GitHub 릴리스) · doc(문서·공지).
# 날짜가 월까지만 확인된 것은 day 칸이 비어 있다. 2025년 이후는 덱에서 "2026-09 기준" 도장과 함께만 쓴다.
year	month	day	event	source	evidence-kind
2017	04	09	termux-api-package(명령줄 쪽) 저장소의 첫 커밋	git termux-api-package 01558e5 (커밋 날짜 %ad)	git
2017	04	28	termux-services 저장소의 첫 커밋	git termux-services 84c3060 (커밋 날짜 %ad)	git
2017	07	04	wiki.termux.com "Main Page" 문서의 첫 리비전(revid 1)	wiki API prop=revisions rvdir=newer (Main Page)	doc
2017	07	05	wiki.termux.com "Package Management" 문서의 첫 리비전(revid 20)	wiki API prop=revisions rvdir=newer (Package Management)	doc
2017	08	03	Termux:Boot 의 첫 GitHub 릴리스 v0.2	https://github.com/termux/termux-boot/releases/tag/v0.2	release
2017	08	24	wiki.termux.com "Termux:API" 문서의 첫 리비전(revid 117)	wiki API prop=revisions rvdir=newer (Termux:API)	doc
2017	09	04	wiki.termux.com "Differences from Linux" 문서의 첫 리비전(revid 397)	wiki API prop=revisions rvdir=newer (Differences from Linux)	doc
2017	09	04	wiki.termux.com "Termux:Boot" 문서의 첫 리비전(revid 414)	wiki API prop=revisions rvdir=newer (Termux:Boot)	doc
2017	09	17	termux-exec 의 첫 GitHub 릴리스 v0.1	https://github.com/termux/termux-exec-package/releases/tag/v0.1	release
2017	09	17	termux-exec 저장소의 첫 커밋	git termux-exec 8b09741 (커밋 날짜 %ad)	git
2017	09	18	wiki.termux.com "Termux-exec" 문서의 첫 리비전(revid 1715)	wiki API prop=revisions rvdir=newer (Termux-exec)	doc
2017	10	02	wiki.termux.com "Installing from F-Droid" 문서의 첫 리비전(revid 2345)	wiki API prop=revisions rvdir=newer (Installing from F-Droid)	doc
2017	10	14	wiki.termux.com "PRoot" 문서의 첫 리비전(revid 2691)	wiki API prop=revisions rvdir=newer (PRoot)	doc
2017	10	28	targetSdk 26 으로 (v0.54 태그)	data/app_sdk.tsv v0.54	git
2017	11	19	targetSdk 27 로 (v0.55 태그)	data/app_sdk.tsv v0.55	git
2019	01	21	targetSdk 28 로 (v0.66 태그) — 이후 2026-09 기준까지 28	data/app_sdk.tsv v0.66	git
2019	03	18	이슈 #1072 개설 — "targetAPI 가 Android Q 이상이면 data 폴더에서 exec 불가"	https://github.com/termux/termux-app/issues/1072	doc
2019	06	26	termux-x11 저장소의 첫 커밋	git termux-x11 5b4bf8e (커밋 날짜 %ad)	git
2019	10	20	minSdk 21 → 24 (v0.76 태그의 app/build.gradle)	data/app_sdk.tsv v0.76	git
2020	01	01	Android 5·6 에 대한 앱·패키지 지원 종료(v0.83)	readme-termux-app 1.3 Installation	doc
2020	06	01	wiki.termux.com "Getting started" 문서의 첫 리비전(revid 5520)	wiki API prop=revisions rvdir=newer (Getting started)	doc
2020	07	20	proot-distro 저장소의 첫 커밋	git proot-distro a2f61aa (커밋 날짜 %ad)	git
2020	09	28	termux-app v0.101 릴리스 — Google Play 판의 마지막 판	https://github.com/termux/termux-app/releases/tag/v0.101	release
2020	11	17	이슈 #1072 닫힘	https://github.com/termux/termux-app/issues/1072	doc
2020	12	29	wiki.termux.com "Termux Google Play" 문서의 첫 리비전(revid 5883)	wiki API prop=revisions rvdir=newer (Termux Google Play)	doc
2021	01	23	PR #1904 개설 — 아키텍처별(split) APK 빌드	https://github.com/termux/termux-app/issues/1904	doc
2021	07	03	이슈 #2155 개설 — "Android W^X 문제를 다시 보자"	https://github.com/termux/termux-app/issues/2155	doc
2021	09	08	termux-app README 에 Google Play 판 폐지 안내를 넣은 커밋 94e01d68	git termux-app 94e01d68 + post 2022-02-15	git
2021	09	08	termux-packages PR #7493 개설 — 배너에 Play 판 폐지 경고	https://github.com/termux/termux-packages/issues/7493	doc
2021	10	29	이슈 #2366 개설 — Android 12 팬텀 프로세스가 죽는다([Process completed (signal 9)])	https://github.com/termux/termux-app/issues/2366	doc
2021	12	22	agnostic-apollo/Android-Docs 저장소의 첫 커밋	git Android-Docs f89f429	git
2022	01	07	termux-app v0.118.0 릴리스 — 세계 읽기 가능 취약점 수정을 포함	https://github.com/termux/termux-app/releases/tag/v0.118.0	release
2022	02	15	Termux 앱들의 취약점 공개 글 — v0.118.0 뒤 30일, Play 판 폐지 뒤 약 150일	post-2022-02-15 (termux.github.io)	doc
2022	02	25	Termux:Tasker v0.6.0 릴리스 공지 글	post-2022-02-25 (termux.github.io)	doc
2022	04	26	PR #2740 개설 — termux-app 에 Android 5/6 지원을 다시 켠다	https://github.com/termux/termux-app/issues/2740	doc
2022	05	24	Android 5·6 용 앱을 GitHub 빌드로 다시 제공 — 패키지 갱신 없음(PR 2740)	readme-termux-app 1.3 Installation	doc
2022	07	02	TUR(termux-user-repository/tur) 첫 커밋 — "termux-packages 를 포크한 판"	git tur a1c3f7f	git
2022	07	18	termux-tools 가 독립 저장소로 시작(README·COPYING)	git termux-tools acad033 (커밋 날짜 %ad)	git
2023	05	04	proot-distro 의 GitHub 릴리스 목록 첫 항목 v3.10.0	https://github.com/termux/proot-distro/releases/tag/v3.10.0	release
2023	09	30	termux/glibc-packages 저장소의 첫 커밋	git glibc-packages e8b1d40	git
2024	06	10	termux-play-store/termux-apps 의 첫 릴리스 termux-0.123.0 (Play 판)	https://github.com/termux-play-store/termux-apps/releases/tag/termux-0.123.0	release
2024	06	18	termux-app v0.118.1 릴리스	https://github.com/termux/termux-app/releases/tag/v0.118.1	release
2024	06	18	termux-app v0.119.0-beta.1 사전 릴리스	https://github.com/termux/termux-app/releases/tag/v0.119.0-beta.1	release
2024	06	22	Termux:Boot v0.8.1 — 2026-09 기준 최신 릴리스	https://github.com/termux/termux-boot/releases/tag/v0.8.1	release
2024	06	22	Termux:Styling v0.32.1 — 2026-09 기준 최신 릴리스	https://github.com/termux/termux-styling/releases/tag/v0.32.1	release
2024	06		Termux 가 Android 11 이상 기기용으로 Google Play 에 돌아옴	wiki-termux-google-play revid 6569	doc
2024	11	11	NLnet NGI Mobifree 보조금 선정 공지(2024년 6월 공모) — termux-core·APKLF·동적 변수 계획	post-2024-11-11 (termux.github.io)	doc
2025	03	29	termux-app v0.118.2 릴리스	https://github.com/termux/termux-app/releases/tag/v0.118.2	release
2025	05	22	termux-app v0.118.3 릴리스 — 2026-09 기준 최신 안정판	https://github.com/termux/termux-app/releases/tag/v0.118.3	release
2025	05	22	termux-app v0.119.0-beta.3 사전 릴리스 — 2026-09 기준 최신 사전 릴리스	https://github.com/termux/termux-app/releases/tag/v0.119.0-beta.3	release
2025	06		GitHub Secure Open Source Fund 2기 참가(메인테이너 둘)	post-2025-08-11 (termux.github.io)	doc
2025	08	11	GitHub Secure Open Source Fund 참가 보고 글	post-2025-08-11 (termux.github.io)	doc
2025	09	01	Termux:API v0.53.0 — 2026-09 기준 최신 릴리스	https://github.com/termux/termux-api/releases/tag/v0.53.0	release
2025	09	02	Termux:Float v0.17.0 — 2026-09 기준 최신 릴리스	https://github.com/termux/termux-float/releases/tag/v0.17.0	release
2025	09	02	Termux:Tasker v0.9.0 — 2026-09 기준 최신 릴리스	https://github.com/termux/termux-tasker/releases/tag/v0.9.0	release
2025	09	02	Termux:Widget v0.15.0 — 2026-09 기준 최신 릴리스	https://github.com/termux/termux-widget/releases/tag/v0.15.0	release
2026	06	21	Play 판 termux-app-googleplay.2026.06.21 — 2026-09 기준 최신	https://github.com/termux-play-store/termux-apps/releases/tag/termux-app-googleplay.2026.06.21	release
2026	07	01	termux-exec v2.5.0 — 2026-09 기준 최신 릴리스	https://github.com/termux/termux-exec-package/releases/tag/v2.5.0	release
2026	08	22	proot-distro v5.8.0 — 2026-09 기준 최신 릴리스	https://github.com/termux/proot-distro/releases/tag/v5.8.0	release
2026	08	31	Google Play 새 앱·업데이트는 API 36 이상을 target 해야 한다는 요구 시작(2026-09 기준)	dev-android-target-sdk-play	doc
2026	09	16	termux-api-package v0.60.0 — 2026-09 기준 최신 릴리스	https://github.com/termux/termux-api-package/releases/tag/v0.60.0	release
