year	month	event	region	generation	source
1962	07	텔스타 1호가 최초의 대서양 횡단 텔레비전 중계에 성공	미국	공통	NASA/AT&T Telstar 기록
1963	07	신콤 2호 — 최초의 정지동기궤도 통신위성	미국	공통	NASA Syncom 미션 기록
1963		소련의 알타이(Алтай) 이동전화망이 운용에 들어감	소련	0G	소련 통신부 기록
1964	08	신콤 3호가 적도 정지궤도에 올라 도쿄 올림픽을 태평양 너머로 중계	미국	공통	NASA Syncom 3 기록
1964	08	인텔샛(국제전기통신위성기구) 설립	—	공통	INTELSAT 설립 협정(1964-08-20)
1964		AT&T 가 IMTS 를 도입 — 다이얼 직통과 자동 채널 선택으로 교환원이 사라진다	미국	0G	Bell System Technical Journal (1964)
1965	04	얼리버드(인텔샛 1호)가 상용 서비스를 시작	—	공통	INTELSAT 기록
1966		창이 직교 주파수 다중화(OFDM)의 원리를 발표	미국	공통	Chang, Synthesis of Band-Limited Orthogonal Signals, BSTJ 45 (1966)
1966		포니가 연접 부호(concatenated codes)를 제안	미국	공통	Forney, Concatenated Codes, MIT Press (1966)
1967	04	비터비가 컨볼루션 부호의 최우 복호 알고리즘을 발표	미국	공통	Viterbi, Error Bounds for Convolutional Codes…, IEEE Trans. IT 13 (1967)
1968		FCC 가 Docket 18262 로 셀룰러용 주파수 검토를 시작	미국	1G	FCC Docket 18262
1971		와인스타인과 에버트가 DFT 로 OFDM 을 구현하는 길을 연다 — FFT 가 열쇠였다	미국	공통	Weinstein & Ebert, Data Transmission by FDM Using the DFT, IEEE Trans. Comm. 19 (1971)
1971	12	AT&T 가 FCC 에 고용량 이동전화 시스템(셀룰러) 제안서를 제출	미국	1G	AT&T, High Capacity Mobile Telephone System Technical Report (1971)
1972	07	추가 일정 진폭·자기상관 0 인 다상 수열을 발표 — LTE·NR 의 Zadoff-Chu 가 여기서 나온다	미국	공통	Chu, Polyphase Codes with Good Periodic Correlation Properties, IEEE Trans. IT 18 (1972)
1973	04	모토롤라의 마틴 쿠퍼가 DynaTAC 시제품으로 첫 휴대전화 통화를 건다	미국	1G	Motorola 보도자료(1973-04-03) · Cooper 인터뷰
1974	05	FCC 가 셀룰러용으로 800 MHz 대의 40 MHz 를 배정	미국	1G	FCC Report and Order, Docket 18262 (1974)
1974	03	바알·코케·옐리네크·라비브가 BCJR 알고리즘을 발표 — 뒷날 터보 복호의 심장	—	공통	Bahl, Cocke, Jelinek, Raviv, IEEE Trans. IT 20 (1974)
1978	07	AT&T 가 시카고에서 AMPS 개발 시스템의 야외 시험을 시작	미국	1G	Bell System Technical Journal 58 (1979) AMPS 특집
1978	02	GPS 첫 블록 I 위성 발사 — 확산대역이 민간 측위로 넘어오는 시작	미국	공통	미 공군/NAVSTAR 프로그램 기록
1979	12	NTT 가 도쿄에서 세계 최초의 셀룰러 자동차 전화 상용 서비스를 개시	일본	1G	NTT 사사 · ITU 연혁
1981	09	사우디아라비아가 NMT-450 을 개통 — 북유럽보다 한 달 빨랐다	사우디아라비아	1G	Ericsson 사사 · NMT 연혁
1981	10	NMT-450 이 스웨덴과 노르웨이에서 개통 — 국가 간 로밍을 처음부터 염두에 둔 규격	북유럽	1G	NMT 규격 · 북유럽 통신청 기록
1982	06	CEPT 가 GSM(Groupe Spécial Mobile) 작업반을 만들고 900 MHz 대를 예약	유럽	2G	CEPT 결의 · ETSI GSM 연혁
1983	09	모토롤라 DynaTAC 8000X 가 FCC 승인을 받는다 — 이듬해 3,995 달러에 판매	미국	1G	FCC 승인 기록(1983-09-21) · Motorola 사사
1983	10	아메리테크가 시카고에서 AMPS 상용 서비스를 개시	미국	1G	Ameritech 보도자료(1983-10-13)
1984	05	한국이동통신서비스가 AMPS 방식 차량전화 서비스를 시작	한국	1G	SK텔레콤 사사 · 한국통신 연혁
1985	01	영국 보다폰이 TACS 상용 서비스를 개시	영국	1G	Vodafone 사사(1985-01-01 첫 통화)
1985		GSM 이 디지털·TDMA 로 가기로 방향을 정한다	유럽	2G	ETSI GSM 연혁
1986	11	파리 근교에서 여덟 후보 시스템의 야외 비교 시험 — GSM 의 기술 선택이 여기서 갈린다	유럽	2G	CEPT GSM 시험 보고서(1986)
1987	05	GSM 이 GMSK 변조와 RPE-LTP 음성 부호화를 채택	유럽	2G	CEPT GSM 결정 · 3GPP TS 46.010
1987	09	13개국 15개 사업자가 코펜하겐에서 GSM 양해각서(MoU)에 서명	유럽	2G	GSM MoU(1987-09-07) · GSMA 연혁
1988		ETSI 설립 — 이듬해 GSM 표준화를 CEPT 로부터 넘겨받는다	유럽	2G	ETSI 연혁
1988	07	한국이동통신이 서울올림픽에 맞춰 휴대전화 서비스를 시작	한국	1G	SK텔레콤 사사
1989	11	퀄컴이 샌디에이고에서 CDMA 셀룰러를 공개 시연	미국	2G	Qualcomm 보도자료(1989-11-07) · Viterbi 회고
1990		GSM Phase 1 규격이 동결	유럽	2G	ETSI GSM Phase 1 규격군
1990		TIA 가 IS-54(D-AMPS) 를 표준으로 채택	미국	2G	TIA/EIA IS-54
1991	07	라디오링야가 핀란드에서 세계 최초의 GSM 상용 서비스를 개시	핀란드	2G	Radiolinja 보도자료(1991-07-01) · GSMA 연혁
1991		한국 ETRI 와 퀄컴이 CDMA 공동 개발 계약을 맺는다	한국	2G	ETRI 사사 · 한국 정보통신부 백서
1991		일본이 PDC 를 이동통신 표준으로 제정	일본	2G	RCR STD-27
1992	11	노키아 1011 — 최초의 양산형 GSM 단말	핀란드	2G	Nokia 보도자료(1992-11-10)
1992	12	닐 팹워스가 최초의 SMS 「Merry Christmas」 를 보낸다	영국	2G	Vodafone 기록(1992-12-03)
1992		GSM 의 이름이 Global System for Mobile Communications 로 바뀐다	—	2G	ETSI GSM 연혁
1993	07	TIA 가 IS-95 를 표준으로 채택	미국	2G	TIA/EIA/IS-95 (1993-07)
1993	09	영국 One2One 이 DCS1800 상용 서비스를 개시	영국	2G	One2One 개통 기록 · GSM 1800 규격
1993	05	베루·글라비외·티티마지시마가 터보 부호를 발표 — 섀넌 한계에 0.5 dB 까지	프랑스	공통	Berrou, Glavieux, Thitimajshima, ICC (1993)
1995	09	홍콩 허치슨이 세계 최초의 IS-95 CDMA 상용 서비스를 개시	홍콩	2G	Hutchison Telecom 보도자료(1995-09)
1995		GSM MoU 협회가 GSM Association(GSMA)으로 개편	—	공통	GSMA 연혁
1995	07	GPS 가 완전 운용 능력(FOC)을 선언	미국	공통	미 공군 우주사령부 발표(1995-07-17)
1996	01	한국이동통신이 인천·부천에서 IS-95 CDMA 를 세계 최초로 전국 규모 상용화	한국	2G	SK텔레콤 사사(1996-01-01) · 한국 정보통신부 백서
1996	04	신세기통신이 두 번째 CDMA 사업자로 서비스를 개시	한국	2G	신세기통신 연혁 · 정보통신부 백서
1996		삼성 SCH-100 — 최초의 CDMA 상용 단말	한국	2G	삼성전자 사사 · 정보통신부 백서
1996		맥케이와 닐이 LDPC 부호를 재발견 — 1960년 박사 논문으로부터 36년이 지나 있었다	영국	공통	MacKay & Neal, Electronics Letters 32 (1996)
1996		포시니가 BLAST 를 제안 — 다중 안테나로 여러 흐름을 동시에 보낸다	미국	공통	Foschini, Bell Labs Technical Journal 1 (1996)
1997	06	IEEE 802.11 원본 규격 승인 — 2 Mbit/s	—	공통	IEEE Std 802.11-1997
1997	10	한국 PCS 3사(한국통신프리텔·한솔PCS·LG텔레콤)가 서비스를 개시	한국	2G	정보통신부 백서 · 각 사 연혁
1998	10	알라무티가 2×1 송신 다이버시티 기법을 발표 — 두 줄짜리 복호식으로 다이버시티 2를 얻는다	미국	공통	Alamouti, IEEE JSAC 16 (1998)
1998	11	이리듐이 66기 위성으로 상용 서비스를 개시	—	공통	Iridium 보도자료(1998-11-01)
1998		COMP128-1 이 깨져 GSM SIM 복제가 가능함이 공개	—	2G	Wagner·Goldberg·Briceno, Smartcard Developer Association (1998-04)
1998	12	3GPP 설립 — ETSI·ARIB·TTC·TTA·CWTS·T1 의 공동 작업으로	—	3G	3GPP 연혁(3gpp.org/about-3gpp)
1999	01	3GPP2 설립 — cdma2000 계열을 맡는다	—	3G	3GPP2 연혁(3gpp2.org)
1999	02	NTT 도코모가 i-mode 를 개시 — 휴대전화에서 인터넷을 쓰는 첫 대중적 성공	일본	2G	NTT DoCoMo 보도자료(1999-02-22)
1999	08	이리듐이 파산 보호를 신청	—	공통	Iridium LLC Chapter 11 (1999-08-13)
1999		비리우코프와 샤미르가 A5/1 에 대한 실시간 공격을 발표	—	2G	Biryukov & Shamir, Real Time Cryptanalysis of A5/1 (1999)
1999		텔라타르가 다중 안테나 채널의 용량을 정리 — MIMO 용량식의 표준 인용	미국	공통	Telatar, Capacity of Multi-antenna Gaussian Channels, ETT 10 (1999)
2000	03	3GPP Release 99 가 동결 — WCDMA 물리계층이 확정된다	—	3G	3GPP Release 1999
2000	04	영국의 3G 주파수 경매가 225억 파운드에 낙찰 — 거품의 시작	영국	3G	영국 통신청(Ofcom 전신) 경매 결과
2000	05	ITU-R 이 권고 M.1457 로 IMT-2000 무선 인터페이스 규격을 확정	—	3G	ITU-R Recommendation M.1457
2000	08	독일의 3G 경매가 508억 마르크에 낙찰	독일	3G	독일 연방망규제청(RegTP) 경매 결과
2000	10	SK텔레콤이 cdma2000 1x 를 세계 최초로 상용화	한국	3G	SK텔레콤 보도자료 · 정보통신부 백서
2001	10	NTT 도코모가 FOMA(W-CDMA)를 세계 최초로 상용화	일본	3G	NTT DoCoMo 보도자료(2001-10-01)
2002	01	SK텔레콤과 KTF 가 cdma2000 1x EV-DO 를 상용화	한국	3G	정보통신부 백서 · 각 사 보도자료
2002	03	3GPP Release 5 동결 — HSDPA 와 IMS 가 들어온다	—	3G	3GPP Release 5
2004	11	3GPP 가 토론토 워크숍에서 LTE 연구를 시작	—	4G	3GPP RAN Evolution Workshop (2004-11)
2005	03	3GPP Release 6 동결 — HSUPA	—	3G	3GPP Release 6
2005		HSDPA 상용 서비스가 여러 나라에서 시작	—	3G	3GPP 및 각 사업자 발표
2006	06	KT 와 SK텔레콤이 와이브로 상용 서비스를 개시	한국	4G	정보통신부 발표(2006-06-30) · TTA 규격
2007	06	애플이 아이폰을 출시 — 단말이 망을 끌고 가는 시대가 열린다	미국	3G	Apple 보도자료(2007-06-29)
2007	10	ITU-R 이 WiMAX(IEEE 802.16e)를 IMT-2000 계열에 추가	—	3G	ITU-R RA-07 결정 · M.1457 개정
2007	12	3GPP Release 7 동결 — HSPA+	—	3G	3GPP Release 7
2008	12	3GPP Release 8 동결 — LTE 와 EPC	—	4G	3GPP Rel-08 description (Stage 3 frozen December 2008)
2008		아르칸이 채널 극화와 폴라 부호를 발표 — 용량을 증명으로 달성하는 최초의 구성적 부호	터키	공통	Arıkan, IEEE Trans. IT 55 (2009); ISIT 2008 발표
2009	01	중국이 3G 면허를 발급 — TD-SCDMA·WCDMA·cdma2000 을 셋으로 나눠 준다	중국	3G	중국 공업정보화부 발표(2009-01-07)
2009	12	텔리아소네라가 스톡홀름과 오슬로에서 LTE 를 세계 최초로 상용화	북유럽	4G	TeliaSonera 보도자료(2009-12-14)
2009	12	3GPP Release 9 동결	—	4G	3GPP Rel-09 description (Stage 3 frozen December 2009)
2009	12	노를 비롯한 연구자들이 A5/1 레인보 테이블을 공개 — GSM 통화 도청이 취미 장비로 내려온다	독일	2G	Karsten Nohl, 26C3 발표(2009-12)
2010	12	버라이즌이 미국에서 LTE 상용 서비스를 개시	미국	4G	Verizon 보도자료(2010-12-05)
2011	03	3GPP Release 10 동결 — LTE-Advanced	—	4G	3GPP Rel-10 description (frozen March 2011)
2011	07	SK텔레콤과 LG유플러스가 LTE 상용 서비스를 개시	한국	4G	각 사 보도자료(2011-07-01)
2012	01	ITU-R 이 LTE-Advanced 와 WirelessMAN-Advanced 를 IMT-Advanced 로 승인	—	4G	ITU-R WP 5D / 권고 M.2012
2012	09	3GPP Release 11 동결	—	4G	3GPP Rel-11 description (Stage 3 frozen Sep 2012)
2014	09	3GPP Release 12 동결 — 이중 연결과 D2D	—	4G	3GPP Rel-12 description (Stage 3 freeze Sept 2014)
2015	09	ITU-R 이 권고 M.2083 으로 IMT-2020 비전을 확정 — eMBB·URLLC·mMTC	—	5G	ITU-R Recommendation M.2083 (2015-09)
2016	03	3GPP Release 13 동결 — NB-IoT·eMTC·LAA, LTE-Advanced Pro	—	4G	3GPP Release 13
2016	10	3GPP 가 NR 의 데이터 채널 부호로 LDPC, 제어 채널 부호로 폴라를 고른다	—	5G	3GPP RAN1#86bis·#87 결정 · TS 38.212
2017	03	3GPP Release 14 동결 — V2X 사이드링크	—	4G	3GPP Release 14
2017	12	3GPP 가 Release 15 의 NSA(비단독) NR 규격을 완료	—	5G	3GPP 보도자료(2017-12-21)
2018	06	3GPP 가 Release 15 의 SA(단독) NR 규격을 완료	—	5G	3GPP 보도자료(2018-06-14)
2018	12	한국 이동통신 3사가 5G 전파를 동시에 송출	한국	5G	과학기술정보통신부 발표(2018-12-01)
2018	12	KT 가 와이브로 서비스를 종료	한국	4G	KT 발표 · 과학기술정보통신부 승인
2019	03	3GPP Release 15 기능 동결(후기분 포함)	—	5G	3GPP Releases 표 (2019-03-22 SA#83)
2019	04	한국 이동통신 3사가 5G 스마트폰 상용 서비스를 세계 최초로 개시	한국	5G	과학기술정보통신부 발표(2019-04-03)
2019	05	스페이스X 가 스타링크 첫 60기를 발사	미국	공통	SpaceX 발사 기록(2019-05-24)
2020	07	3GPP Release 16 동결 — URLLC 강화·NR-U·IAB	—	5G	3GPP Releases 표 (2020-07-03 SA#88-e)
2022	03	3GPP Release 17 동결 — NTN·RedCap	—	5G	3GPP Releases 표 (2022-03-18 SA#95)
2022	08	T-모바일과 스페이스X 가 단말 직접 위성 연결 계획을 발표	미국	공통	T-Mobile·SpaceX 공동 발표(2022-08-25)
2022	09	애플이 아이폰 14 에 위성 긴급 SOS 를 넣는다	미국	공통	Apple 보도자료(2022-09)
2023	11	WRC-23 이 6.425–7.125 GHz 와 10–10.5 GHz 를 IMT 로 식별하고 7.125–8.4 GHz 는 WRC-27 로 넘긴다	—	6G	WRC-23 최종 의정서 · WRC-27 의제 1.7
2023	11	ITU-R 이 권고 M.2160 으로 IMT-2030(6G) 프레임워크를 확정	—	6G	ITU-R Recommendation M.2160 (2023-11)
2024	01	스페이스X 가 첫 다이렉트 투 셀 위성 6기를 발사	미국	공통	SpaceX 발사 기록(2024-01-02)
2024	03	3GPP Release 18 동결 — 5G-Advanced 의 첫 릴리스	—	5G	3GPP Releases 표 (2024-03 SA#103)
2024	09	AST 스페이스모바일이 첫 블루버드 위성 5기를 발사	미국	공통	AST SpaceMobile 보도자료(2024-09-12)
2025	06	3GPP 가 Release 20 의 Stage-1(서비스 요구사항)을 동결 (2026-09 기준)	—	6G	3GPP Release 20 페이지 · 2026-09-16 WebSearch 확인
2025	07	T-모바일이 스타링크 기반 T-Satellite 문자 서비스를 상용 개시 (2026-09 기준)	미국	공통	T-Mobile 발표(2025-07-23) · 2026-09-16 WebSearch 확인
2025	09	3GPP 가 Release 20 에서 6G 기술 연구 단계를 시작 (2026-09 기준)	—	6G	3GPP Release 20 페이지 · 2026-09-16 WebSearch 확인
2025	12	3GPP Release 19 규격이 볼티모어 총회에서 동결 (2026-09 기준)	—	5G	3GPP Releases 표 (2025-12-12 SA#110) · 2026-09-16 WebSearch 확인
2026	09	Release 20 Stage-2 동결 목표 시점 — 6G 규격 본체는 Release 21(2027-03~2028-12)에서 쓰인다 (2026-09 기준)	—	6G	3GPP Rel-21 timeline · 2026-09-16 WebSearch 확인
