generation	standard	access	modulation	coding	duplex	bandwidth	peak_rate	latency	spectrum	first_launch	source
2G	D-AMPS (IS-136)	TDMA 3슬롯 / 30 kHz	π/4-DQPSK, 변조율 48.6 kbit/s	컨볼루션 r=1/2	FDD	30 kHz	음성 7.95 kbit/s(VSELP)	—	AMPS 와 같은 대역	1993 미국	TIA/EIA IS-54 · IS-136
2G	PDC	TDMA 3슬롯 / 25 kHz	π/4-DQPSK, 변조율 42 kbit/s	컨볼루션	FDD	25 kHz	음성 11.2 kbit/s(VSELP) · 6.7 kbit/s(PSI-CELP)	—	800 MHz · 1.5 GHz(일본)	1993-03 일본(NTT)	RCR STD-27 · NTT 개시일
3G	WCDMA (UMTS Rel-99)	DS-CDMA 3.84 Mcps	하향 QPSK · 상향 BPSK(I/Q 분리)	터보 r=1/3(데이터) · 컨볼루션 r=1/2·1/3(제어)	FDD(간격 190 MHz, 2 GHz 대)	5 MHz	이동 384 kbit/s · 실내 2 Mbit/s(규격 목표)	—	1920–1980 / 2110–2170 MHz	2001-10 일본(NTT DoCoMo FOMA)	3GPP TS 25.211~25.213 · FOMA 개시일
3.5G	HSDPA (Rel-5)	WCDMA + 공유 채널(HS-DSCH)	QPSK·16QAM(적응 변조)	터보 + HARQ(체이스·증분 잉여)	FDD	5 MHz	14.4 Mbit/s(범주 10, 15 코드 16QAM)	TTI 2 ms	WCDMA 와 같음	2005~	3GPP TS 25.306 UE 범주표
3.5G	HSPA+ (Rel-7·8)	WCDMA + 64QAM·MIMO	QPSK~64QAM, 2×2 MIMO	터보 + HARQ	FDD	5 MHz(이중 반송파 10 MHz)	42 Mbit/s(DC-HSDPA 64QAM 2×2 MIMO)	TTI 2 ms	WCDMA 와 같음	2009~	3GPP TS 25.306 UE 범주표
3G	cdma2000 1x	DS-CDMA 1.2288 Mcps	QPSK	터보(데이터)·컨볼루션(음성)	FDD	1.25 MHz	153.6 kbit/s(1xRTT)	—	800 MHz · 1.9 GHz	2000-10 한국(SK텔레콤)	3GPP2 C.S0002 · SKT 상용 개시일
3.5G	1xEV-DO Rel.0	시분할 공유 순방향(TDM) + CDMA 역방향	QPSK·8PSK·16QAM(적응)	터보 + HARQ	FDD	1.25 MHz	하향 2.4576 Mbit/s · 상향 153.6 kbit/s	슬롯 1.667 ms	800 MHz · 1.9 GHz	2002-01 한국	3GPP2 C.S0024 (HRPD)
3G	TD-SCDMA	DS-CDMA 1.28 Mcps + TDMA	QPSK·8PSK	터보·컨볼루션	TDD(비대칭 슬롯 배분)	1.6 MHz	2.8 Mbit/s(HSDPA 적용 전 규격 목표)	—	2010–2025 MHz 등(중국)	2009 중국(차이나모바일)	3GPP TS 25.221~25.224 (LCR TDD)
4G	LTE (Rel-8)	하향 OFDMA · 상향 SC-FDMA	QPSK·16QAM·64QAM	터보 r=1/3 + 순환 버퍼 레이트 매칭 + HARQ	FDD·TDD	1.4·3·5·10·15·20 MHz	하향 300 Mbit/s(20 MHz 4×4) · 상향 75 Mbit/s	사용자면 목표 5 ms 미만	700 MHz~2.6 GHz 등	2009-12 스웨덴·노르웨이(TeliaSonera)	3GPP TS 36.211·36.213·36.306 · TeliaSonera 개시일
4G	LTE-Advanced (Rel-10)	OFDMA/SC-FDMA + 반송파 집성	QPSK~64QAM	터보 + HARQ	FDD·TDD	최대 100 MHz(20 MHz × 5 반송파)	하향 1 Gbit/s(규격 목표, 8×8)	사용자면 목표 5 ms 미만	다중 대역 집성	2013~	3GPP TR 36.913 요구사항 · TS 36.306
4G	LTE-Advanced Pro (Rel-13)	OFDMA + 32 반송파 집성 + LAA	QPSK~256QAM	터보 + HARQ	FDD·TDD·비면허 보조	최대 640 MHz(20 MHz × 32)	하향 3 Gbit/s급(범주 의존)	—	면허 + 5 GHz 비면허	2016~	3GPP TS 36.306 UE 범주표
4G	모바일 WiMAX (IEEE 802.16e)	OFDMA	QPSK·16QAM·64QAM	컨볼루셔널 터보(CTC)	TDD	5 · 7 · 8.75 · 10 MHz	프로파일 의존 — 단일 수치로 못 박지 않는다	—	2.3 · 2.5 · 3.5 GHz	2006-06 한국(와이브로)	IEEE 802.16e-2005 · WiMAX Forum 시스템 프로파일
5G	NR FR1 (Rel-15)	CP-OFDM(하향·상향) · 선택적 DFT-s-OFDM(상향)	QPSK~256QAM	LDPC(데이터) · 폴라(제어) + HARQ	FDD·TDD	SCS 15/30/60 kHz, 반송파 최대 100 MHz	하향 이론 2.34 Gbit/s(100 MHz·4층·256QAM)	사용자면 목표 4 ms(eMBB) · 0.5 ms(URLLC)	410 MHz – 7.125 GHz	2019-04 한국	3GPP TS 38.211·38.212·38.306 · TS 38.101-1
5G	NR FR2 (Rel-15)	CP-OFDM + 아날로그/디지털 혼합 빔포밍	QPSK~64QAM(초기 규격)	LDPC · 폴라 + HARQ	TDD	SCS 60/120 kHz, 반송파 최대 400 MHz	하향 이론 수 Gbit/s(대역폭·층수 의존)	사용자면 목표 4 ms(eMBB)	24.25 – 52.6 GHz	2019~ 미국·한국	3GPP TS 38.101-2 · TS 38.211
6G	IMT-2030 (목표)	미정 — 3GPP Rel-21 에서 규격화 예정	미정	미정	미정	미정	최고 50–200 Gbit/s(능력 목표값)	0.1–1 ms(능력 목표값)	후보 대역은 WRC-27 의제 1.7 에서 논의	규격 2028-12 동결 목표 (2026-09 기준)	ITU-R 권고 M.2160 (2023-11) · 3GPP Rel-21 일정
