series	ts	title	release	pins	url
33	33.102	TS 3G security; Security architecture	Rel-99	3G 보안 구조 — AKA 와 상호 인증	https://www.3gpp.org/dynareport/33102.htm
33	33.105	TS 3G Security; Cryptographic algorithm requirements	Rel-99	암호 알고리즘에 대한 요구사항	https://www.3gpp.org/dynareport/33105.htm
33	33.203	TS 3G security; Access security for IP-based services	Rel-5	IMS 접속 보안	https://www.3gpp.org/dynareport/33203.htm
33	33.220	TS Generic Authentication Architecture (GAA); Generic Bootstrapping Architecture (GBA)	Rel-6	일반 인증 구조(GBA)	https://www.3gpp.org/dynareport/33220.htm
33	33.401	TS 3GPP System Architecture Evolution (SAE); Security architecture	Rel-8	EPS 보안 구조 — EEA/EIA 와 키 계층	https://www.3gpp.org/dynareport/33401.htm
33	33.501	TS Security architecture and procedures for 5G System	Rel-15	5G 보안 구조 — SUCI 와 홈망 제어 인증	https://www.3gpp.org/dynareport/33501.htm
34	34.108	TS Common test environments for User Equipment (UE); Conformance testing	Rel-99	단말 적합성 시험의 공통 시험 환경	https://www.3gpp.org/dynareport/34108.htm
35	35.201	TS 3G Security; Specification of the 3GPP confidentiality and integrity algorithms; Document 1: f8 and f9 specification	Rel-99	f8·f9 규격 — UMTS 기밀성과 무결성	https://www.3gpp.org/dynareport/35201.htm
35	35.202	TS 3G Security; Specification of the 3GPP confidentiality and integrity algorithms; Document 2: Kasumi  specification	Rel-99	KASUMI 블록 암호 규격	https://www.3gpp.org/dynareport/35202.htm
35	35.205	TS 3G Security; Specification of the MILENAGE algorithm set: An example algorithm set for the 3GPP authentication and key generation functions f1, f1*, f2, f3, f4, f5 and f5*; Document 1: General	Rel-99	MILENAGE 총론 — f1~f5 의 예시 알고리즘	https://www.3gpp.org/dynareport/35205.htm
35	35.206	TS 3G Security; Specification of the MILENAGE algorithm set: An example algorithm set for the 3GPP authentication and key generation functions f1, f1*, f2, f3, f4, f5 and f5*; Document 2: Algorithm specification	Rel-99	MILENAGE 알고리즘 규격	https://www.3gpp.org/dynareport/35206.htm
35	35.215	TS Specification of the 3GPP Confidentiality and Integrity Algorithms UEA2 & UIA2; Document 1: UEA2 and UIA2 specifications	Rel-7	SNOW 3G 기반 UEA2·UIA2 규격	https://www.3gpp.org/dynareport/35215.htm
35	35.221	TS Specification of the 3GPP Confidentiality and Integrity Algorithms EEA3 & EIA3; Document 1: EEA3 and EIA3 specifications	Rel-11	ZUC 기반 EEA3·EIA3 규격	https://www.3gpp.org/dynareport/35221.htm
35	35.231	TS Specification of the TUAK algorithm set: A second example algorithm set for the 3GPP authentication and key generation functions f1, f1*, f2, f3, f4, f5 and f5*; Document 1: Algorithm specification	Rel-12	TUAK — MILENAGE 를 대신할 수 있는 예시 알고리즘	https://www.3gpp.org/dynareport/35231.htm
36	36.101	TS Evolved Universal Terrestrial Radio Access (E-UTRA); User Equipment (UE) radio transmission and reception	Rel-8	LTE 단말 송수신 요구 — 대역 표와 전력 등급	https://www.3gpp.org/dynareport/36101.htm
36	36.104	TS Evolved Universal Terrestrial Radio Access (E-UTRA); Base Station (BS) radio transmission and reception	Rel-8	LTE 기지국 송수신 요구	https://www.3gpp.org/dynareport/36104.htm
36	36.201	TS Evolved Universal Terrestrial Radio Access (E-UTRA); LTE physical layer; General description	Rel-8	LTE 물리계층 총론	https://www.3gpp.org/dynareport/36201.htm
36	36.211	TS Evolved Universal Terrestrial Radio Access (E-UTRA); Physical channels and modulation	Rel-8	LTE 물리채널과 변조 — 자원 그리드·CP·기준신호	https://www.3gpp.org/dynareport/36211.htm
36	36.212	TS Evolved Universal Terrestrial Radio Access (E-UTRA); Multiplexing and channel coding	Rel-8	LTE 다중화와 채널 부호화 — 터보와 순환 버퍼	https://www.3gpp.org/dynareport/36212.htm
36	36.213	TS Evolved Universal Terrestrial Radio Access (E-UTRA); Physical layer procedures	Rel-8	LTE 물리계층 절차 — HARQ 타이밍·CQI/PMI/RI	https://www.3gpp.org/dynareport/36213.htm
36	36.214	TS Evolved Universal Terrestrial Radio Access (E-UTRA); Physical layer; Measurements	Rel-8	LTE 물리계층 측정 — RSRP·RSRQ	https://www.3gpp.org/dynareport/36214.htm
36	36.300	TS Evolved Universal Terrestrial Radio Access (E-UTRA) and Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Overall description; Stage 2	Rel-8	E-UTRAN 총론(2단계) — LTE 를 한 편으로 읽는 문서	https://www.3gpp.org/dynareport/36300.htm
36	36.304	TS Evolved Universal Terrestrial Radio Access (E-UTRA); User Equipment (UE) procedures in idle mode	Rel-8	유휴 모드 단말 절차 — 셀 선택과 재선택	https://www.3gpp.org/dynareport/36304.htm
36	36.306	TS Evolved Universal Terrestrial Radio Access (E-UTRA); User Equipment (UE) radio access capabilities	Rel-8	LTE 단말 범주표 — 300 Mbit/s 가 어디서 나오는지	https://www.3gpp.org/dynareport/36306.htm
36	36.321	TS Evolved Universal Terrestrial Radio Access (E-UTRA); Medium Access Control (MAC) protocol specification	Rel-8	LTE MAC — 스케줄링 요청과 랜덤 액세스	https://www.3gpp.org/dynareport/36321.htm
36	36.322	TS Evolved Universal Terrestrial Radio Access (E-UTRA); Radio Link Control (RLC) protocol specification	Rel-8	LTE RLC — AM·UM·TM	https://www.3gpp.org/dynareport/36322.htm
36	36.323	TS Evolved Universal Terrestrial Radio Access (E-UTRA); Packet Data Convergence Protocol (PDCP) specification	Rel-8	LTE PDCP — ROHC 와 보안	https://www.3gpp.org/dynareport/36323.htm
36	36.331	TS Evolved Universal Terrestrial Radio Access (E-UTRA); Radio Resource Control (RRC); Protocol specification	Rel-8	LTE RRC — 측정 보고와 핸드오버	https://www.3gpp.org/dynareport/36331.htm
36	36.401	TS Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Architecture description	Rel-8	E-UTRAN 구조 — eNB 와 S1·X2	https://www.3gpp.org/dynareport/36401.htm
36	36.413	TS Evolved Universal Terrestrial Radio Access Network (E-UTRAN); S1 Application Protocol (S1AP)	Rel-8	S1AP — eNB 와 MME 사이	https://www.3gpp.org/dynareport/36413.htm
36	36.423	TS Evolved Universal Terrestrial Radio Access Network (E-UTRAN); X2 Application Protocol (X2AP)	Rel-8	X2AP — eNB 사이	https://www.3gpp.org/dynareport/36423.htm
36	36.913	TR Requirements for further advancements for Evolved Universal Terrestrial Radio Access (E-UTRA)  (LTE-Advanced)	Rel-8	IMT-Advanced 를 향한 LTE-Advanced 요구사항(TR)	https://www.3gpp.org/dynareport/36913.htm
37	37.324	TS Evolved Universal Terrestrial Radio Access (E-UTRA) and NR; Service Data Adaptation Protocol (SDAP) specification	Rel-15	SDAP — 5G 의 QoS 흐름을 무선 베어러에 맞춘다	https://www.3gpp.org/dynareport/37324.htm
37	37.340	TS Evolved Universal Terrestrial Radio Access (E-UTRA) and NR; Multi-connectivity; Overall Description; Stage-2	Rel-15	다중 연결(EN-DC 등) 총론 — NSA 가 여기 있다	https://www.3gpp.org/dynareport/37340.htm
38	38.101-1	TS NR; User Equipment (UE) radio transmission and reception	Rel-15	NR FR1 단말 송수신 요구 — 대역과 채널 대역폭 표	https://www.3gpp.org/dynareport/38101-1.htm
38	38.101-2	TS NR; User Equipment (UE) radio transmission and reception	Rel-15	NR FR2 단말 송수신 요구 — 밀리미터파	https://www.3gpp.org/dynareport/38101-2.htm
38	38.104	TS NR; Base Station (BS) radio transmission and reception	Rel-15	NR 기지국 송수신 요구	https://www.3gpp.org/dynareport/38104.htm
38	38.133	TS NR; Requirements for support of radio resource management	Rel-15	무선 자원 관리 요구 — 측정과 이동성 성능	https://www.3gpp.org/dynareport/38133.htm
38	38.201	TS NR; Physical layer; General description	Rel-15	NR 물리계층 총론	https://www.3gpp.org/dynareport/38201.htm
38	38.202	TS NR; Services provided by the physical layer	Rel-15	NR 물리계층이 제공하는 서비스	https://www.3gpp.org/dynareport/38202.htm
38	38.211	TS NR; Physical channels and modulation	Rel-15	NR 물리채널과 변조 — 뉴머롤로지·자원 그리드·SSB	https://www.3gpp.org/dynareport/38211.htm
38	38.212	TS NR; Multiplexing and channel coding	Rel-15	NR 다중화와 채널 부호화 — LDPC 와 폴라	https://www.3gpp.org/dynareport/38212.htm
38	38.213	TS NR; Physical layer procedures for control	Rel-15	NR 제어를 위한 물리계층 절차 — 랜덤 액세스·전력 제어	https://www.3gpp.org/dynareport/38213.htm
38	38.214	TS NR; Physical layer procedures for data	Rel-15	NR 데이터를 위한 물리계층 절차 — MCS 표와 TBS	https://www.3gpp.org/dynareport/38214.htm
38	38.215	TS NR; Physical layer measurements	Rel-15	NR 물리계층 측정 — SS-RSRP·CSI-RSRP	https://www.3gpp.org/dynareport/38215.htm
38	38.300	TS NR; NR and NG-RAN Overall description; Stage-2	Rel-15	NR·NG-RAN 총론(2단계) — NR 을 한 편으로 읽는 문서	https://www.3gpp.org/dynareport/38300.htm
38	38.304	TS NR; User Equipment (UE) procedures in Idle mode and in RRC Inactive state	Rel-15	NR 유휴 모드 단말 절차	https://www.3gpp.org/dynareport/38304.htm
38	38.306	TS NR; User Equipment (UE) radio access capabilities	Rel-15	NR 단말 능력 — 최대 속도 계산식이 여기 있다	https://www.3gpp.org/dynareport/38306.htm
38	38.321	TS NR; Medium Access Control (MAC) protocol specification	Rel-15	NR MAC	https://www.3gpp.org/dynareport/38321.htm
38	38.322	TS NR; Radio Link Control (RLC) protocol specification	Rel-15	NR RLC	https://www.3gpp.org/dynareport/38322.htm
38	38.323	TS NR; Packet Data Convergence Protocol (PDCP) specification	Rel-15	NR PDCP	https://www.3gpp.org/dynareport/38323.htm
38	38.331	TS NR; Radio Resource Control (RRC); Protocol specification	Rel-15	NR RRC — BWP·빔 관리 시그널링	https://www.3gpp.org/dynareport/38331.htm
38	38.401	TS NG-RAN; Architecture description	Rel-15	NG-RAN 구조 — gNB-CU/DU 분리	https://www.3gpp.org/dynareport/38401.htm
38	38.413	TS NG-RAN; NG Application Protocol (NGAP)	Rel-15	NGAP — gNB 와 AMF 사이	https://www.3gpp.org/dynareport/38413.htm
38	38.423	TS NG-RAN; Xn Application Protocol (XnAP)	Rel-15	XnAP — gNB 사이	https://www.3gpp.org/dynareport/38423.htm
38	38.473	TS NG-RAN; F1 Application Protocol (F1AP)	Rel-15	F1AP — CU 와 DU 사이	https://www.3gpp.org/dynareport/38473.htm
38	38.801	TR Study on new radio access technology: Radio access architecture and interfaces	Rel-14	새 무선 접속 기술의 RAN 구조 연구(TR)	https://www.3gpp.org/dynareport/38801.htm
38	38.802	TR Study on new radio access technology Physical layer aspects	Rel-14	NR 물리계층 관점의 연구(TR) — 설계 선택의 이유가 적혀 있다	https://www.3gpp.org/dynareport/38802.htm
38	38.811	TR Study on New Radio (NR) to support non-terrestrial networks	Rel-15	NTN 을 지원하기 위한 NR 연구(TR)	https://www.3gpp.org/dynareport/38811.htm
38	38.821	TR Solutions for NR to support Non-Terrestrial Networks (NTN)	Rel-16	NTN 지원 해법(TR) — 타이밍 어드밴스·도플러 사전보상	https://www.3gpp.org/dynareport/38821.htm
38	38.901	TR Study on channel model for frequencies from 0.5 to 100 GHz	Rel-14	0.5~100 GHz 채널 모형(TR) — UMa·UMi 경로손실식의 출처	https://www.3gpp.org/dynareport/38901.htm
38	38.912	TR Study on New Radio (NR) access technology	Rel-14	NR 접속 기술 연구(TR)	https://www.3gpp.org/dynareport/38912.htm
38	38.913	TR Study on scenarios and requirements for next generation access technologies	Rel-14	차세대 접속 기술의 시나리오와 요구사항(TR) — 5G 목표 수치	https://www.3gpp.org/dynareport/38913.htm
43	43.020	TS Security related network functions	Rel-4	GSM 보안 관련 망 기능 — A3/A5/A8 이 여기 있다	https://www.3gpp.org/dynareport/43020.htm
43	43.064	TS General Packet Radio Service (GPRS); Overall description of the GPRS radio interface; Stage 2	Rel-4	GPRS 무선 인터페이스 총론(2단계)	https://www.3gpp.org/dynareport/43064.htm
44	44.018	TS Mobile radio interface layer 3 specification; GSM/EDGE Radio Resource Control (RRC) protocol	Rel-4	GSM RR 프로토콜 — Um 인터페이스 Layer 3	https://www.3gpp.org/dynareport/44018.htm
44	44.060	TS General Packet Radio Service (GPRS); Mobile Station (MS) - Base Station System (BSS) interface; Radio Link Control / Medium Access Control (RLC/MAC) protocol	Rel-4	GPRS RLC/MAC 프로토콜	https://www.3gpp.org/dynareport/44060.htm
45	45.001	TS GSM/EDGE Physical layer on the radio path; General description	Rel-4	GSM/EDGE 무선 경로 물리계층 총론	https://www.3gpp.org/dynareport/45001.htm
45	45.002	TS GSM/EDGE Multiplexing and multiple access on the radio path	Rel-4	GSM 무선 경로의 다중화와 다중 접속 — 버스트와 멀티프레임	https://www.3gpp.org/dynareport/45002.htm
45	45.003	TS GSM/EDGE Channel coding	Rel-4	GSM 채널 부호화 — 음성·데이터·제어의 부호	https://www.3gpp.org/dynareport/45003.htm
45	45.004	TS GSM/EDGE Modulation	Rel-4	GSM 변조 — GMSK 와 8PSK	https://www.3gpp.org/dynareport/45004.htm
45	45.005	TS GSM/EDGE Radio transmission and reception	Rel-4	GSM 무선 송수신 — 감도와 전력 등급	https://www.3gpp.org/dynareport/45005.htm
45	45.008	TS GSM/EDGE Radio subsystem link control	Rel-4	무선 부시스템 링크 제어 — 전력 제어와 핸드오버 판정	https://www.3gpp.org/dynareport/45008.htm
45	45.009	TS GSM/EDGE Link adaptation	Rel-4	링크 적응 — GPRS/EDGE 의 부호 선택	https://www.3gpp.org/dynareport/45009.htm
45	45.010	TS GSM/EDGE Radio subsystem synchronization	Rel-4	무선 부시스템 동기 — 타이밍 어드밴스	https://www.3gpp.org/dynareport/45010.htm
48	48.008	TS Mobile Switching Centre - Base Station system (MSC-BSS) interface; Layer 3 specification	Rel-4	MSC 와 BSS 사이의 Layer 3 — A 인터페이스	https://www.3gpp.org/dynareport/48008.htm
51	51.011	TS Specification of the Subscriber Identity Module - Mobile Equipment (SIM-ME) interface	Rel-4	SIM 과 단말 사이의 인터페이스 — 옛 SIM 의 파일 구조	https://www.3gpp.org/dynareport/51011.htm
55	55.205	TS Specification of the GSM-MILENAGE algorithms: An example algorithm set for the GSM Authentication and Key Generation Functions A3 and A8	Rel-99	GSM-MILENAGE — A3/A8 의 예시 알고리즘	https://www.3gpp.org/dynareport/55205.htm
