# 논문 색인 — <!--CITE key=…--> 는 여기 있는 key 만 쓸 수 있다.
# 본문은 make papers 가 papers/<key>.txt 로 받는다(커밋하지 않는 캐시).
key	arxiv-id	title	first-author	year	venue	what-it-pins	url
ba2016	1607.06450	Layer Normalization	Ba	2016	arXiv	층 정규화	https://arxiv.org/abs/1607.06450
press2016	1608.05859	Using the Output Embedding to Improve Language Models	Press	2016	EACL 2017 (arXiv 주석)	입출력 임베딩 묶기	https://arxiv.org/abs/1608.05859
vaswani2017	1706.03762	Attention Is All You Need	Vaswani	2017	NIPS 2017 (papers.nips.cc)	트랜스포머 구조·하이퍼파라미터·표 3	https://arxiv.org/abs/1706.03762
micikevicius2017	1710.03740	Mixed Precision Training	Micikevicius	2017	ICLR 2018 (arXiv 주석)	혼합 정밀도 학습·손실 스케일링	https://arxiv.org/abs/1710.03740
loshchilov2017	1711.05101	Decoupled Weight Decay Regularization	Loshchilov	2017	ICLR 2019 (arXiv 주석)	AdamW 분리된 가중치 감쇠	https://arxiv.org/abs/1711.05101
milakov2018	1805.02867	Online normalizer calculation for softmax	Milakov	2018	arXiv	온라인 소프트맥스 정규화	https://arxiv.org/abs/1805.02867
fan2018	1805.04833	Hierarchical Neural Story Generation	Fan	2018	arXiv	top-k 샘플링	https://arxiv.org/abs/1805.04833
radford2018	-	Improving Language Understanding by Generative Pre-Training	Radford	2018	OpenAI 기술 보고서	GPT-1 구성(12층·768·3072·BPE 40,000 병합)	https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf
kudo2018	1808.06226	SentencePiece: A simple and language independent subword tokenizer and detokenizer for Neural Text Processing	Kudo	2018	EMNLP 2018 demo (arXiv 주석)	SentencePiece 토크나이저	https://arxiv.org/abs/1808.06226
devlin2018	1810.04805	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding	Devlin	2018	arXiv	BERT 인코더 사전학습·110M/340M	https://arxiv.org/abs/1810.04805
radford2019	-	Language Models are Unsupervised Multitask Learners	Radford	2019	OpenAI 기술 보고서	GPT-2 표 2·어휘 50,257·문맥 1024	https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf
holtzman2019	1904.09751	The Curious Case of Neural Text Degeneration	Holtzman	2019	ICLR 2020 (arXiv 주석)	nucleus(top-p) 샘플링	https://arxiv.org/abs/1904.09751
zhang2019	1910.07467	Root Mean Square Layer Normalization	Zhang	2019	NeurIPS 2019 (arXiv 주석)	RMSNorm	https://arxiv.org/abs/1910.07467
raffel2019	1910.10683	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer	Raffel	2019	arXiv	T5 텍스트-텍스트 모델 크기	https://arxiv.org/abs/1910.10683
shazeer2019	1911.02150	Fast Transformer Decoding: One Write-Head is All You Need	Shazeer	2019	arXiv	MQA 멀티쿼리 어텐션	https://arxiv.org/abs/1911.02150
kaplan2020	2001.08361	Scaling Laws for Neural Language Models	Kaplan	2020	arXiv	규모 법칙(손실 대 N·D·C 거듭제곱)	https://arxiv.org/abs/2001.08361
shazeer2020	2002.05202	GLU Variants Improve Transformer	Shazeer	2020	arXiv	GLU 변형(SwiGLU) FFN	https://arxiv.org/abs/2002.05202
xiong2020	2002.04745	On Layer Normalization in the Transformer Architecture	Xiong	2020	ICML 2020 (arXiv journal_ref)	Pre-LN 과 워밍업	https://arxiv.org/abs/2002.04745
brown2020	2005.14165	Language Models are Few-Shot Learners	Brown	2020	arXiv	GPT-3 크기표(표 2.1)·300B 토큰	https://arxiv.org/abs/2005.14165
su2021	2104.09864	RoFormer: Enhanced Transformer with Rotary Position Embedding	Su	2021	arXiv	RoPE 회전 위치 인코딩	https://arxiv.org/abs/2104.09864
hu2021	2106.09685	LoRA: Low-Rank Adaptation of Large Language Models	Hu	2021	arXiv	LoRA 저랭크 미세조정	https://arxiv.org/abs/2106.09685
rae2021	2112.11446	Scaling Language Models: Methods, Analysis & Insights from Training Gopher	Rae	2021	arXiv	Gopher 280B 구성	https://arxiv.org/abs/2112.11446
rabe2021	2112.05682	Self-attention Does Not Need $O(n^2)$ Memory	Rabe	2021	arXiv	O(n²) 메모리 없는 어텐션	https://arxiv.org/abs/2112.05682
ouyang2022	2203.02155	Training language models to follow instructions with human feedback	Ouyang	2022	arXiv	InstructGPT·RLHF	https://arxiv.org/abs/2203.02155
hoffmann2022	2203.15556	Training Compute-Optimal Large Language Models	Hoffmann	2022	arXiv	Chinchilla 계산 최적 N·D 비율	https://arxiv.org/abs/2203.15556
dao2022	2205.14135	FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness	Dao	2022	arXiv	FlashAttention 타일링	https://arxiv.org/abs/2205.14135
pope2022	2211.05102	Efficiently Scaling Transformer Inference	Pope	2022	arXiv	추론 효율·KV 캐시 비용	https://arxiv.org/abs/2211.05102
touvron2023	2302.13971	LLaMA: Open and Efficient Foundation Language Models	Touvron	2023	arXiv	LLaMA 구성표·학습 토큰 수	https://arxiv.org/abs/2302.13971
ainslie2023	2305.13245	GQA: Training Generalized Multi-Query Transformer Models from Multi-Head Checkpoints	Ainslie	2023	EMNLP 2023 (arXiv 주석)	GQA 그룹쿼리 어텐션	https://arxiv.org/abs/2305.13245
wu2016	1609.08144	Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation	Wu	2016	arXiv	GNMT·워드피스 어휘(트랜스포머 EN-FR 가 씀)	https://arxiv.org/abs/1609.08144
openai2023	2303.08774	GPT-4 Technical Report	OpenAI	2023	arXiv	GPT-4 공개(구성 비공개)	https://arxiv.org/abs/2303.08774
touvron2023b	2307.09288	Llama 2: Open Foundation and Fine-Tuned Chat Models	Touvron	2023	arXiv	Llama 2 공개 가중치	https://arxiv.org/abs/2307.09288
grattafiori2024	2407.21783	The Llama 3 Herd of Models	Grattafiori	2024	arXiv	Llama 3 기술 보고서(2026-09 기준)	https://arxiv.org/abs/2407.21783
deepseekai2024	2412.19437	DeepSeek-V3 Technical Report	DeepSeek-AI	2024	arXiv	DeepSeek-V3 MoE(2026-09 기준)	https://arxiv.org/abs/2412.19437
deepseekai2025	2501.12948	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	DeepSeek-AI	2025	Nature 645:633-638 (arXiv journal_ref)	강화학습 추론 모델(2026-09 기준)	https://arxiv.org/abs/2501.12948
openai2025	2508.10925	gpt-oss-120b & gpt-oss-20b Model Card	OpenAI	2025	arXiv	OpenAI 공개 가중치 모델 카드(2026-09 기준)	https://arxiv.org/abs/2508.10925
